core_a,core_b,feature,cliffs_delta,p_value,q_value,direction
CORE01,CORE04,locus::PTEN,0.15294118,0.53025254,0.66621473,higher_in_core_a
CORE01,CORE04,fga,-0.64705882,0.00621106,0.02341092,lower_in_core_a
CORE01,CORE04,gain_burden,-0.25882353,0.28036162,0.41629453,lower_in_core_a
CORE01,CORE04,loss_burden,-0.72941176,0.00201581,0.01097497,lower_in_core_a
CORE01,CORE05,chr1p,-0.35947712,0.1456101,0.44593093,lower_in_core_a
CORE01,CORE05,chr1q,-0.50326797,0.0405523,0.28498977,lower_in_core_a
CORE01,CORE05,chr2p,-0.32679739,0.18660224,0.50503557,lower_in_core_a
CORE01,CORE05,chr2q,-0.18954248,0.45043843,0.76121647,lower_in_core_a
CORE01,CORE05,chr3p,-0.16339869,0.51778621,0.79286013,lower_in_core_a
CORE01,CORE05,chr3q,-0.22875817,0.35953804,0.70469456,lower_in_core_a
CORE01,CORE05,chr4p,0.09803922,0.70596729,0.86480993,higher_in_core_a
CORE01,CORE05,chr4q,0.04575163,0.87154965,0.97058938,higher_in_core_a
CORE01,CORE05,chr5p,0.12418301,0.62762581,0.83719833,higher_in_core_a
CORE01,CORE05,chr5q,0.32026144,0.19583012,0.50503557,higher_in_core_a
CORE01,CORE05,chr6p,0.12418301,0.62756698,0.83719833,higher_in_core_a
CORE01,CORE05,chr6q,0.12418301,0.62762581,0.83719833,higher_in_core_a
CORE01,CORE05,chr7p,-0.17647059,0.48351618,0.76426751,lower_in_core_a
CORE01,CORE05,chr7q,-0.18954248,0.45051587,0.76121647,lower_in_core_a
CORE01,CORE05,chr8p,0.11111111,0.66634153,0.83719833,higher_in_core_a
CORE01,CORE05,chr8q,-0.4379085,0.07530625,0.36900063,lower_in_core_a
CORE01,CORE05,chr9p,0.47712418,0.05234506,0.28498977,higher_in_core_a
CORE01,CORE05,chr9q,0.52941176,0.03109364,0.28498977,higher_in_core_a
CORE01,CORE05,chr10p,-0.11111111,0.66634153,0.83719833,higher_in_core_a
CORE01,CORE05,chr10q,0.69934641,0.00428299,0.09771482,higher_in_core_a
CORE01,CORE05,chr11p,0.17647059,0.48351618,0.76426751,higher_in_core_a
CORE01,CORE05,chr11q,0.08496732,0.74640684,0.87080798,higher_in_core_a
CORE01,CORE05,chr12p,-0.47712418,0.05234506,0.28498977,lower_in_core_a
CORE01,CORE05,chr12q,-0.38562092,0.11805086,0.44496093,lower_in_core_a
CORE01,CORE05,chr13p,0.0,,,
CORE01,CORE05,chr13q,-0.21568627,0.38849556,0.73216471,lower_in_core_a
CORE01,CORE05,chr14p,0.0,,,
CORE01,CORE05,chr14q,-0.00653595,1.0,1.0,higher_in_core_a
CORE01,CORE05,chr15p,0.0,,,
