core_a,core_b,clinical_variable,n_core_a,n_core_b,median_core_a,median_core_b,smd_a_vs_b,effect_size,p_value,q_value,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
CORE02,CORE06,grade,,,,,,,0.11076711,0.54166666,G3,4,14,4,5,0.2857142857142857,0.8,-0.5142857142857143,0.14285714,0.01659498,1.22977948,,,,,,
CORE02,CORE06,grade,,,,,,,1.0,1.0,G4,3,14,1,5,0.21428571428571427,0.2,0.014285714285714263,0.91304348,0.10102093,8.25223475,,,,,,
CORE02,CORE06,overall_survival,,,,,,,0.9131339,0.9703412,,,,,,,,,,,,14,5,3,2,521.0,1525.0
CORE03,CORE04,age,14,10,58.0,55.0,0.10123271,0.10123271,0.6815025,1.0,,,,,,,,,,,,,,,,,
CORE03,CORE04,gender,,,,,,,1.0,1.0,FEMALE,5,14,3,10,0.35714285714285715,0.3,0.05714285714285716,1.2406015,0.23896919,6.44054619,,,,,,
CORE03,CORE04,gender,,,,,,,1.0,1.0,MALE,9,14,7,10,0.6428571428571429,0.7,-0.05714285714285705,0.80606061,0.15526633,4.18463991,,,,,,
CORE03,CORE04,stage_group,,,,,,,0.39263921,1.0,I,3,14,4,10,0.21428571428571427,0.4,-0.18571428571428575,0.43961353,0.08063345,2.39677278,,,,,,
CORE03,CORE04,stage_group,,,,,,,1.0,1.0,II,2,14,1,10,0.14285714285714285,0.1,0.042857142857142844,1.26666667,0.14133126,11.35236747,,,,,,
CORE03,CORE04,stage_group,,,,,,,1.0,1.0,III,5,14,4,10,0.35714285714285715,0.4,-0.04285714285714287,0.83625731,0.16949609,4.125914,,,,,,
CORE03,CORE04,stage_group,,,,,,,0.35770751,1.0,IV,4,14,1,10,0.2857142857142857,0.1,0.1857142857142857,2.71428571,0.3509194,20.99441333,,,,,,
CORE03,CORE04,t_stage,,,,,,,0.27206851,1.0,T1A,1,14,3,10,0.07142857142857142,0.3,-0.22857142857142856,0.23809524,0.02884333,1.96542302,,,,,,
CORE03,CORE04,t_stage,,,,,,,0.35770751,1.0,T1B,4,14,1,10,0.2857142857142857,0.1,0.1857142857142857,2.71428571,0.3509194,20.99441333,,,,,,
CORE03,CORE04,t_stage,,,,,,,1.0,1.0,T2,2,14,2,10,0.14285714285714285,0.2,-0.05714285714285716,0.68,0.09600498,4.81641694,,,,,,
CORE03,CORE04,t_stage,,,,,,,1.0,1.0,T2B,1,14,0,10,0.07142857142857142,0.0,0.07142857142857142,2.33333333,0.08599951,63.30785061,,,,,,
CORE03,CORE04,t_stage,,,,,,,1.0,1.0,T3A,6,14,4,10,0.42857142857142855,0.4,0.028571428571428525,1.10457516,0.22814476,5.34786032,,,,,,
CORE03,CORE04,m_stage,,,,,,,0.32330827,1.0,M0,8,12,9,10,0.6666666666666666,0.9,-0.2333333333333334,0.29824561,0.03776023,2.35566489,,,,,,
CORE03,CORE04,m_stage,,,,,,,0.32330827,1.0,M1,4,12,1,10,0.3333333333333333,0.1,0.2333333333333333,3.35294118,0.4245086,26.48289001,,,,,,
CORE03,CORE04,grade,,,,,,,1.0,1.0,G2,4,14,3,10,0.2857142857142857,0.3,-0.01428571428571429,0.91836735,0.17080536,4.9377758,,,,,,
CORE03,CORE04,grade,,,,,,,0.69682999,1.0,G3,7,14,4,10,0.5,0.4,0.09999999999999998,1.44444444,0.30010524,6.95229371,,,,,,
CORE03,CORE04,grade,,,,,,,0.66533181,1.0,G4,3,14,3,10,0.21428571428571427,0.3,-0.08571428571428572,0.65217391,0.11401517,3.73047576,,,,,,
CORE03,CORE04,overall_survival,,,,,,,0.4145414,0.69090233,,,,,,,,,,,,14,10,4,3,1221.5,1911.5
CORE03,CORE05,age,14,9,58.0,58.0,0.32933225,0.32933225,0.65868962,1.0,,,,,,,,,,,,,,,,,
CORE03,CORE05,gender,,,,,,,1.0,1.0,FEMALE,5,14,4,9,0.35714285714285715,0.4444444444444444,-0.08730158730158727,0.70760234,0.1387205,3.60942378,,,,,,
CORE03,CORE05,gender,,,,,,,1.0,1.0,MALE,9,14,5,9,0.6428571428571429,0.5555555555555556,0.08730158730158732,1.41322314,0.27705253,7.20873989,,,,,,
CORE03,CORE05,stage_group,,,,,,,1.0,1.0,I,3,14,2,9,0.21428571428571427,0.2222222222222222,-0.007936507936507936,0.91304348,0.14134055,5.89815457,,,,,,
CORE03,CORE05,stage_group,,,,,,,0.34283337,1.0,II,2,14,3,9,0.14285714285714285,0.3333333333333333,-0.19047619047619047,0.37142857,0.05670372,2.43298304,,,,,,
CORE03,CORE05,stage_group,,,,,,,0.65701979,1.0,III,5,14,2,9,0.35714285714285715,0.2222222222222222,0.13492063492063494,1.73684211,0.29427646,10.2509746,,,,,,
CORE03,CORE05,stage_group,,,,,,,1.0,1.0,IV,4,14,2,9,0.2857142857142857,0.2222222222222222,0.06349206349206349,1.28571429,0.21086025,7.83960589,,,,,,
CORE03,CORE05,t_stage,,,,,,,0.39130435,1.0,T1,0,14,1,9,0.0,0.1111111111111111,-0.1111111111111111,0.1954023,0.0071299,5.3552057,,,,,,
CORE03,CORE05,t_stage,,,,,,,1.0,1.0,T1A,1,14,1,9,0.07142857142857142,0.1111111111111111,-0.03968253968253968,0.62962963,0.05596168,7.08401723,,,,,,
CORE03,CORE05,t_stage,,,,,,,0.12727273,1.0,T1B,4,14,0,9,0.2857142857142857,0.0,0.2857142857142857,8.14285714,0.38534411,172.06989813,,,,,,
CORE03,CORE05,t_stage,,,,,,,0.34283337,1.0,T2,2,14,3,9,0.14285714285714285,0.3333333333333333,-0.19047619047619047,0.37142857,0.05670372,2.43298304,,,,,,
CORE03,CORE05,t_stage,,,,,,,1.0,1.0,T2B,1,14,0,9,0.07142857142857142,0.0,0.07142857142857142,2.11111111,0.07735687,57.61337092,,,,,,
