core_id,feature,q_value,fisher_p,odds_ratio,ci_low,ci_high,frequency_difference,gene,set_mutated_n,set_total_n,rest_mutated_n,rest_total_n,mutation_frequency,rest_mutation_frequency,delta_mutation_frequency
CORE03,mutation::TSC1,1.0,1.0,1.20689655,0.05508906,26.44080736,-0.02247191011235955,TSC1,0,14,2,89,0.0,0.02247191011235955,-0.02247191011235955
CORE03,mutation::TSC2,1.0,1.0,1.20689655,0.05508906,26.44080736,-0.02247191011235955,TSC2,0,14,2,89,0.0,0.02247191011235955,-0.02247191011235955
CORE03,mutation::TTN,0.17478257,0.02850716,5.50549451,1.4094274,21.50552044,0.21829855537720705,TTN,4,14,6,89,0.2857142857142857,0.06741573033707865,0.21829855537720705
CORE03,mutation::VHL,0.69001372,0.1568213,0.43280531,0.13979024,1.34001084,-0.21589085072231134,VHL,5,14,51,89,0.35714285714285715,0.5730337078651685,-0.21589085072231134
CORE04,mutation::ARID1A,1.0,1.0,1.23129252,0.05941011,25.51891135,-0.03225806451612903,ARID1A,0,10,3,93,0.0,0.03225806451612903,-0.03225806451612903
CORE04,mutation::ATM,1.0,1.0,0.64102564,0.0336566,12.20901423,-0.06451612903225806,ATM,0,10,6,93,0.0,0.06451612903225806,-0.06451612903225806
CORE04,mutation::BAP1,1.0,1.0,1.02947368,0.16645766,6.36688063,-0.02903225806451612,BAP1,1,10,12,93,0.1,0.12903225806451613,-0.02903225806451612
CORE04,mutation::CDKN2A,1.0,1.0,8.9047619,0.16780009,472.55507209,0.0,CDKN2A,0,10,0,93,0.0,0.0,0.0
CORE04,mutation::DST,0.00709335,0.00064485,25.33846154,4.45288054,144.18478708,0.378494623655914,DST,4,10,2,93,0.4,0.021505376344086023,0.378494623655914
CORE04,mutation::ELOC,1.0,1.0,2.93650794,0.11231278,76.77736203,-0.010752688172043012,ELOC,0,10,1,93,0.0,0.010752688172043012,-0.010752688172043012
CORE04,mutation::FLG,1.0,1.0,0.64102564,0.0336566,12.20901423,-0.06451612903225806,FLG,0,10,6,93,0.0,0.06451612903225806,-0.06451612903225806
CORE04,mutation::KDM5C,1.0,1.0,0.64102564,0.0336566,12.20901423,-0.06451612903225806,KDM5C,0,10,6,93,0.0,0.06451612903225806,-0.06451612903225806
CORE04,mutation::KMT2C,0.53398059,0.09708738,29.52631579,1.12273349,776.50068463,0.1,KMT2C,1,10,0,93,0.1,0.0,0.1
