core_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
CORE03,chr5p,14,89,0.04605099,0.04842706,0.09310324,0.12657604,-0.21443678,0.96545925,0.96545925,-0.00802568,lower_in_core
CORE03,chr5q,14,89,0.15181723,0.16170718,0.18889653,0.17644862,0.08374621,0.63382977,0.81573222,0.08025682,higher_in_core
CORE03,chr6p,14,89,0.02478159,0.0058,-0.01100854,-0.03517709,0.20013376,0.2365513,0.57634473,0.19823435,higher_in_core
CORE03,chr6q,14,89,-0.04934248,-0.0012,-0.10358459,-0.04703396,-0.40498845,0.07582169,0.33775116,-0.29695024,lower_in_core
CORE03,chr7p,14,89,0.04138718,0.04084774,0.08891672,0.10011747,-0.08397049,0.65106233,0.81573222,0.07624398,higher_in_core
CORE03,chr7q,14,89,0.03617687,0.034,0.08177207,0.10089564,-0.13388061,0.79499925,0.86566585,0.04414125,higher_in_core
CORE03,chr8p,14,89,0.00915,-0.0152,-0.01755294,-0.11018763,0.50107447,0.09595254,0.36530469,0.27849117,higher_in_core
CORE03,chr8q,14,89,0.03868997,0.00769355,0.09111199,-0.00820151,0.73454761,0.00432747,0.10602301,0.47672552,higher_in_core
CORE03,chr9p,14,89,-0.05982057,-0.0033,-0.09263311,-0.06768457,-0.15093196,0.73263547,0.8158895,-0.05778491,lower_in_core
CORE03,chr9q,14,89,-0.0091926,-0.0029,-0.08952755,-0.07368379,-0.09844964,0.66149344,0.81573222,-0.07383628,lower_in_core
CORE03,chr10p,14,89,0.03032481,0.0032,-0.00096397,-0.01383708,0.12438622,0.12719294,0.44517529,0.25521669,higher_in_core
CORE03,chr10q,14,89,0.0247,-0.0065634,-0.00428623,-0.03766408,0.29797255,0.04797986,0.31680676,0.33065811,higher_in_core
CORE03,chr11p,14,89,0.03134369,0.0202,0.02542796,0.03354667,-0.14696806,0.71101719,0.8158895,0.06260032,higher_in_core
CORE03,chr11q,14,89,0.02624292,0.013,0.01618524,0.02297367,-0.10556368,0.88902715,0.92685809,0.02407705,higher_in_core
CORE03,chr12p,14,89,0.0352,0.03577596,0.04909537,0.08245311,-0.30338438,0.72540526,0.8158895,-0.05939005,lower_in_core
CORE03,chr12q,14,89,0.03496892,0.04173995,0.04959423,0.08206214,-0.32096531,0.63382884,0.81573222,-0.08025682,lower_in_core
CORE03,chr13p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE03,chr13q,14,89,0.01355,0.00740958,-0.00023294,-0.01383674,0.13797509,0.68255145,0.81573222,0.06902087,higher_in_core
CORE03,chr14p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE03,chr14q,14,89,-0.29325702,-0.02321737,-0.29424139,-0.12363209,-0.89556136,0.00167831,0.08223719,-0.52487961,lower_in_core
CORE03,chr15p,14,89,0.0,0.0,0.0,0.0,,,,0.0,
CORE03,chr15q,14,89,0.03724159,0.01008817,0.03561658,0.00701108,0.35666495,0.05308263,0.31680676,0.32343499,higher_in_core
CORE03,chr16p,14,89,0.0309,0.0416,0.04454108,0.08034384,-0.33023313,0.38381399,0.69655132,-0.14606742,lower_in_core
CORE03,chr16q,14,89,0.0342852,0.03689716,0.03979625,0.07306579,-0.31370442,0.59328482,0.81573222,-0.08988764,lower_in_core
CORE03,chr17p,14,89,0.02835,0.0099,0.02948114,-0.00042186,0.33784496,0.05927641,0.31680676,0.31540931,higher_in_core
CORE03,chr17q,14,89,0.031492,0.0138,0.03919743,0.02096185,0.22771135,0.06465444,0.31680676,0.30898876,higher_in_core
CORE03,chr18p,14,89,-0.04703095,0.0198,-0.07299728,-0.00954778,-0.52102357,0.03111509,0.30492788,-0.36035313,lower_in_core
CORE03,chr18q,14,89,-0.0284849,0.0198,-0.07048491,-0.00670233,-0.49497814,0.05308198,0.31680676,-0.32343499,lower_in_core
CORE03,chr19p,14,89,0.02340891,0.0164,0.01843437,0.02542987,-0.11094831,0.66498526,0.81573222,0.07303371,higher_in_core
