core_a,core_b,feature,effect_size,smd_a_vs_b,p_value,q_value,feature_family,medical_imaging_domain,interpretation
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Skewness,0.55002847,0.55002847,0.05777494,0.3667735,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,-0.33490059,-0.33490059,0.14575935,0.52960793,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Uniformity,-0.33530648,-0.33530648,0.17057901,0.57884169,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_firstorder_Variance,0.47682857,0.47682857,0.14575935,0.52960793,firstorder,intratumoral intensity distribution,intratumoral intensity distribution; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_Autocorrelation,-0.08067147,-0.08067147,0.54094473,0.85972932,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.48950661,0.48950661,0.1911791,0.59186954,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_ClusterShade,-0.44104032,-0.44104032,0.13443512,0.50637229,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.43679824,0.43679824,0.21355395,0.61403553,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_Contrast,0.56800551,0.56800551,0.07313448,0.39166807,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_Correlation,0.06561021,0.06561021,0.23775947,0.62388909,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.56168888,0.56168888,0.07657595,0.40060566,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.53642775,0.53642775,0.08385496,0.41464456,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.55436457,0.55436457,0.07313448,0.39166807,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; higher in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_Id,-0.55735371,-0.55735371,0.08014834,0.40252277,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_Idm,-0.55913711,-0.55913711,0.07313448,0.39166807,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
STATE_A,STATE_B,log-sigma-2-0-mm-3D_glcm_Idmn,-0.35604348,-0.35604348,0.08014834,0.40252277,glcm,gray-level co-occurrence texture,gray-level co-occurrence texture; lower in CORE A than CORE B
