state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
STATE_C,chr13q,11,48,0.0166,0.00467152,0.02271108,-0.0299897,0.51303533,0.26310079,0.45744389,0.21969697,higher_in_core
STATE_C,chr14p,11,48,0.0,0.0,0.0,0.0,,,,0.0,
STATE_C,chr14q,11,48,-0.21793533,-0.00995,-0.21469896,-0.1180373,-0.48254424,0.08857435,0.39240539,-0.33333333,lower_in_core
STATE_C,chr15p,11,48,0.0,0.0,0.0,0.0,,,,0.0,
STATE_C,chr15q,11,48,0.0514,0.0103066,0.04198093,0.02034943,0.29313291,0.07654225,0.37505703,0.34659091,higher_in_core
STATE_C,chr16p,11,48,0.0591,0.02773759,0.07218405,0.07147406,0.00591107,0.23900411,0.4479998,0.23106061,higher_in_core
STATE_C,chr16q,11,48,0.0591,0.0292,0.06363448,0.06383278,-0.00176276,0.24685703,0.4479998,0.22727273,higher_in_core
STATE_C,chr17p,11,48,0.0261,0.0095,0.0271819,-0.00873211,0.38881077,0.22013408,0.43870843,0.2405303,higher_in_core
STATE_C,chr17q,11,48,0.06523763,0.01035,0.05313268,0.00199161,0.63563131,0.01381497,0.16925029,0.48106061,higher_in_core
STATE_C,chr18p,11,48,-0.00835413,0.01985,-0.01527087,-0.01920731,0.03137896,0.96119273,0.96119329,-0.01136364,lower_in_core
STATE_C,chr18q,11,48,0.0082302,0.01995,-0.01324393,-0.01009381,-0.02293594,0.93020858,0.96119329,-0.01893939,lower_in_core
STATE_C,chr19p,11,48,0.028,0.0134,0.04512336,0.01686002,0.42779855,0.03307754,0.27013324,0.41666667,higher_in_core
STATE_C,chr19q,11,48,0.0651,0.01525,0.06311489,0.03971648,0.28040724,0.0210937,0.20671826,0.45075758,higher_in_core
STATE_C,chr20p,11,48,0.057,0.02161475,0.04735735,0.05806182,-0.07433214,0.68990312,0.78433751,0.07954545,higher_in_core
STATE_C,chr20q,11,48,0.057,0.02605,0.06008132,0.09054911,-0.22231548,0.36545572,0.51163801,0.1780303,higher_in_core
STATE_C,chr21p,11,48,0.0,0.0,0.0,0.0,,,,0.0,
STATE_C,chr21q,11,48,0.0334,0.00981664,0.03534391,-0.00798259,0.27691206,0.14979835,0.43870843,0.28219697,higher_in_core
STATE_C,chr22p,11,48,0.0,0.0,0.0,0.0,,,,0.0,
STATE_C,chr22q,11,48,0.0368,0.01813264,0.00430451,0.003668,0.00609871,0.32566471,0.49750196,0.19318182,higher_in_core
STATE_C,locus::VHL,11,48,-0.3196,-0.36845,-0.29474545,-0.3251875,0.13381138,0.34520544,0.49750196,0.18560606,higher_in_core
STATE_C,locus::SETD2,11,48,-0.3196,-0.3786,-0.29117273,-0.34050766,0.22673085,0.18894147,0.43870843,0.25757576,higher_in_core
STATE_C,locus::PBRM1,11,48,-0.3196,-0.3786,-0.29117273,-0.3371875,0.2085535,0.20935915,0.43870843,0.24621212,higher_in_core
STATE_C,locus::BAP1,11,48,-0.3196,-0.3786,-0.29117273,-0.3371875,0.2085535,0.20935915,0.43870843,0.24621212,higher_in_core
STATE_C,locus::JAK2,11,48,-0.1217,0.00295,-0.16610909,-0.0099524,-0.83107316,0.06307446,0.34340539,-0.36363636,lower_in_core
STATE_C,locus::CDKN2A,11,48,-0.1217,0.00295,-0.18167273,-0.07132292,-0.47994432,0.12656116,0.43870843,-0.29924242,lower_in_core
STATE_C,locus::PTEN,11,48,0.0178,-0.0042,-0.01634066,-0.05604623,0.29355314,0.14170815,0.43870843,0.28787879,higher_in_core
STATE_C,fga,11,48,0.11733983,0.1093302,0.13542974,0.17557206,-0.22722248,0.96119329,0.96119329,-0.01136364,lower_in_core
STATE_C,gain_burden,11,48,0.02595835,0.04849749,0.03076894,0.08298056,-0.55493494,0.09609928,0.39240539,-0.32575758,lower_in_core
STATE_C,loss_burden,11,48,0.08132124,0.06788134,0.10466081,0.0925915,0.12522871,0.67562312,0.78433751,0.08333333,higher_in_core
