feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
log-sigma-1-0-mm-3D_glrlm_RunEntropy,4,86,26;28;17;15,estimable,,6.27778615,0.0988503,0.18251771,0.039973
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformity,4,86,26;28;17;15,estimable,,21.16959595,9.707e-05,0.00296731,0.22158044
log-sigma-1-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,4,86,26;28;17;15,estimable,,2.03226477,0.56573711,0.64508873,0.0
log-sigma-1-0-mm-3D_glrlm_RunPercentage,4,86,26;28;17;15,estimable,,1.38699408,0.7085862,0.7662224,0.0
log-sigma-1-0-mm-3D_glrlm_RunVariance,4,86,26;28;17;15,estimable,,2.09780166,0.55235763,0.63495841,0.0
log-sigma-1-0-mm-3D_glrlm_ShortRunEmphasis,4,86,26;28;17;15,estimable,,3.04774225,0.38432267,0.48632096,0.00058222
log-sigma-1-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,3.46961421,0.32472449,0.42916804,0.005727
log-sigma-1-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,1.8244621,0.60962623,0.68106222,0.0
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,4,86,26;28;17;15,estimable,,17.89584808,0.00046215,0.0052223,0.18165668
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,4,86,26;28;17;15,estimable,,6.8079944,0.07827608,0.15329631,0.04643896
log-sigma-1-0-mm-3D_glszm_GrayLevelVariance,4,86,26;28;17;15,estimable,,6.53245268,0.0883914,0.16786938,0.04307869
log-sigma-1-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,4,86,26;28;17;15,estimable,,4.30029991,0.23080985,0.32889676,0.01585732
log-sigma-1-0-mm-3D_glszm_LargeAreaEmphasis,4,86,26;28;17;15,estimable,,13.46564718,0.00373056,0.01881934,0.12762984
log-sigma-1-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,14.47901765,0.0023206,0.01432515,0.13998802
log-sigma-1-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,10.43258917,0.01522523,0.04637334,0.09064133
log-sigma-1-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,4,86,26;28;17;15,estimable,,1.48295548,0.68620975,0.75027027,0.0
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformity,4,86,26;28;17;15,estimable,,18.14375915,0.00041082,0.00493858,0.18467999
log-sigma-1-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,4,86,26;28;17;15,estimable,,0.60670551,0.8948956,0.92688545,0.0
log-sigma-1-0-mm-3D_glszm_SmallAreaEmphasis,4,86,26;28;17;15,estimable,,0.95175885,0.81292258,0.85213591,0.0
log-sigma-1-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,4.98707707,0.17274587,0.26414456,0.02423265
log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,0.73585151,0.86474064,0.89834257,0.0
log-sigma-1-0-mm-3D_glszm_ZoneEntropy,4,86,26;28;17;15,estimable,,4.1941224,0.241251,0.34086983,0.01456247
log-sigma-1-0-mm-3D_glszm_ZonePercentage,4,86,26;28;17;15,estimable,,2.56402493,0.46383137,0.55996736,0.0
log-sigma-1-0-mm-3D_glszm_ZoneVariance,4,86,26;28;17;15,estimable,,13.55446483,0.00357882,0.01836848,0.12871299
log-sigma-1-0-mm-3D_gldm_DependenceEntropy,4,86,26;28;17;15,estimable,,11.60115597,0.00888213,0.03323446,0.10489215
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformity,4,86,26;28;17;15,estimable,,20.55522579,0.00013021,0.00296731,0.21408812
log-sigma-1-0-mm-3D_gldm_DependenceNonUniformityNormalized,4,86,26;28;17;15,estimable,,13.23745733,0.00415024,0.02021453,0.12484704
log-sigma-1-0-mm-3D_gldm_DependenceVariance,4,86,26;28;17;15,estimable,,12.14201228,0.00691219,0.02764595,0.11148795
log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,4,86,26;28;17;15,estimable,,19.91228109,0.000177,0.00298522,0.20624733
log-sigma-1-0-mm-3D_gldm_GrayLevelVariance,4,86,26;28;17;15,estimable,,7.96806363,0.04667637,0.10536806,0.06058614
log-sigma-1-0-mm-3D_gldm_HighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,3.33904179,0.34224562,0.44709543,0.00413466
log-sigma-1-0-mm-3D_gldm_LargeDependenceEmphasis,4,86,26;28;17;15,estimable,,0.98807434,0.80413758,0.84606654,0.0
log-sigma-1-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,2.08971339,0.55399662,0.63619531,0.0
log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,3.24673881,0.35512467,0.46072431,0.00300901
log-sigma-1-0-mm-3D_gldm_LowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,2.28368309,0.515654,0.60360539,0.0
log-sigma-1-0-mm-3D_gldm_SmallDependenceEmphasis,4,86,26;28;17;15,estimable,,3.73304645,0.29177059,0.39343767,0.00893959
log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,4,86,26;28;17;15,estimable,,3.30063986,0.3475536,0.4529822,0.00366634
log-sigma-1-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,4,86,26;28;17;15,estimable,,2.81043606,0.42178484,0.51919049,0.0
log-sigma-1-0-mm-3D_ngtdm_Busyness,4,86,26;28;17;15,estimable,,16.22370886,0.0010203,0.00860402,0.16126474
log-sigma-1-0-mm-3D_ngtdm_Coarseness,4,86,26;28;17;15,estimable,,19.44492653,0.00022118,0.0033442,0.20054788
log-sigma-1-0-mm-3D_ngtdm_Complexity,4,86,26;28;17;15,estimable,,6.02196019,0.11054669,0.19828216,0.03685317
log-sigma-1-0-mm-3D_ngtdm_Contrast,4,86,26;28;17;15,estimable,,2.7652275,0.42925612,0.52495608,0.0
log-sigma-1-0-mm-3D_ngtdm_Strength,4,86,26;28;17;15,estimable,,16.20562123,0.00102905,0.00861353,0.16104416
log-sigma-2-0-mm-3D_firstorder_10Percentile,4,86,26;28;17;15,estimable,,13.60538247,0.00349461,0.01828199,0.12933393
log-sigma-2-0-mm-3D_firstorder_90Percentile,4,86,26;28;17;15,estimable,,10.15887291,0.01726283,0.05093211,0.08730333
log-sigma-2-0-mm-3D_firstorder_Energy,4,86,26;28;17;15,estimable,,16.92776824,0.00073133,0.00718611,0.16985083
log-sigma-2-0-mm-3D_firstorder_Entropy,4,86,26;28;17;15,estimable,,12.84905263,0.00497467,0.02235162,0.1201104
log-sigma-2-0-mm-3D_firstorder_InterquartileRange,4,86,26;28;17;15,estimable,,13.37069459,0.00389983,0.01941325,0.12647189
log-sigma-2-0-mm-3D_firstorder_Kurtosis,4,86,26;28;17;15,estimable,,14.50938556,0.00228775,0.01424936,0.14035836
log-sigma-2-0-mm-3D_firstorder_Maximum,4,86,26;28;17;15,estimable,,9.02178963,0.02900258,0.07465357,0.07343646
log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,4,86,26;28;17;15,estimable,,13.68889719,0.00336071,0.01791322,0.1303524
log-sigma-2-0-mm-3D_firstorder_Mean,4,86,26;28;17;15,estimable,,9.66799635,0.02160971,0.05941356,0.08131703
log-sigma-2-0-mm-3D_firstorder_Median,4,86,26;28;17;15,estimable,,8.21232692,0.04182143,0.09845462,0.06356496
log-sigma-2-0-mm-3D_firstorder_Minimum,4,86,26;28;17;15,estimable,,5.78980503,0.12229672,0.21002324,0.03402201
log-sigma-2-0-mm-3D_firstorder_Range,4,86,26;28;17;15,estimable,,7.9733342,0.04656603,0.10536806,0.06065042
log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,4,86,26;28;17;15,estimable,,14.17004159,0.0026826,0.01570641,0.13622002
log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,4,86,26;28;17;15,estimable,,11.91974096,0.00766321,0.02975748,0.10877733
log-sigma-2-0-mm-3D_firstorder_Skewness,4,86,26;28;17;15,estimable,,3.54522931,0.31494324,0.41770641,0.00664914
