case_id,columns,error,exists,file_path,invalid_segment_mean_count,required_columns_present,segment_count,segment_mean_max,segment_mean_median,segment_mean_min
TCGA-BP-4801,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/912c06de-766e-48c6-a231-03f501f40f7a/NINES_p_TCGAb68_SNP_N_GenomeWideSNP_6_A08_730706.nocnv_grch38.seg.v2.txt,0,True,78,1.4128,0.0177,-1.9848
TCGA-BP-4960,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/5441712e-69a5-4338-b891-8cbc5dbc2c4c/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_E03_697790.nocnv_grch38.seg.v2.txt,0,True,178,1.9422,-0.0013,-6.4115
TCGA-BP-4962,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/66472002-c990-400d-b4b0-96a76a2fef05/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_E12_697954.nocnv_grch38.seg.v2.txt,0,True,103,0.4422,0.0124,-3.657
TCGA-BP-4964,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/9bbbb83d-0652-4d77-b3a1-95105a03f73f/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F10_697806.nocnv_grch38.seg.v2.txt,0,True,85,2.4268,0.0127,-6.2959
TCGA-BP-4965,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/32f83b04-d1bc-4370-b0bd-653411ee7aca/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G02_697960.nocnv_grch38.seg.v2.txt,0,True,86,1.3388,0.029949999999999997,-4.0613
TCGA-BP-4967,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/370364d0-2af3-4878-bac7-a3bc8a1a0f58/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_D05_697922.nocnv_grch38.seg.v2.txt,0,True,291,3.1179,-0.031,-4.0957
TCGA-BP-4970,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/70ba6042-b812-4e40-ae94-dc4b674265ca/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_E09_697802.nocnv_grch38.seg.v2.txt,0,True,112,2.2886,-0.19619999999999999,-2.9966
TCGA-BP-4971,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/adca5792-8f56-45d5-a629-a7d163426ed9/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F01_697898.nocnv_grch38.seg.v2.txt,0,True,98,2.198,-0.0071,-3.2914
TCGA-BP-4972,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/f6e6caa7-29fa-4768-b276-894a163b94cc/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F05_697930.nocnv_grch38.seg.v2.txt,0,True,57,1.624,-0.0134,-1.7026
TCGA-BP-4976,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/3a5afc12-476b-482c-926a-b0601a58abd4/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_D10_697858.nocnv_grch38.seg.v2.txt,0,True,204,0.806,-0.011,-2.5651
