state_id,pathway,state_n,rest_n,tss_level_n,unadjusted_beta,unadjusted_smd,tss_adjusted_beta,tss_adjusted_ci_low,tss_adjusted_ci_high,tss_adjusted_p_value,effect_attenuation,tss_levels,tss_adjusted_q_value
STATE_C,HALLMARK_ADIPOGENESIS,14,55,6,-0.01067231,-0.32919513,-0.01537353,-0.03491243,0.00416537,0.12084923,-0.44050713,B0;B8;BP;CJ;CZ;G6,0.33569231
STATE_C,HALLMARK_ALLOGRAFT_REJECTION,14,55,6,0.11988618,1.25528588,0.12901876,0.07131083,0.18672669,3.403e-05,-0.07617707,B0;B8;BP;CJ;CZ;G6,0.00085075
STATE_C,HALLMARK_ANDROGEN_RESPONSE,14,55,6,-0.03113129,-0.73202362,-0.02418415,-0.05017425,0.00180594,0.06762049,0.22315617,B0;B8;BP;CJ;CZ;G6,0.26007881
STATE_C,HALLMARK_ANGIOGENESIS,14,55,6,-0.0301393,-0.33808152,-0.00289316,-0.0535372,0.04775088,0.90945147,0.90400705,B0;B8;BP;CJ;CZ;G6,0.96148833
STATE_C,HALLMARK_APICAL_JUNCTION,14,55,6,0.00749013,0.17168605,0.01933468,-0.00664025,0.04530962,0.1418321,-1.58135555,B0;B8;BP;CJ;CZ;G6,0.35385112
STATE_C,HALLMARK_APICAL_SURFACE,14,55,6,-0.00212478,-0.04263525,0.00912934,-0.02107274,0.03933141,0.54788926,-3.29659694,B0;B8;BP;CJ;CZ;G6,0.68486158
STATE_C,HALLMARK_APOPTOSIS,14,55,6,0.01611957,0.44714591,0.02553894,0.00488335,0.04619453,0.01621244,-0.58434348,B0;B8;BP;CJ;CZ;G6,0.09006911
STATE_C,HALLMARK_BILE_ACID_METABOLISM,14,55,6,-0.01053035,-0.1986856,-0.01425565,-0.04611661,0.01760531,0.37456359,-0.35376882,B0;B8;BP;CJ;CZ;G6,0.58525561
STATE_C,HALLMARK_CHOLESTEROL_HOMEOSTASIS,14,55,6,-0.0147912,-0.51412226,-0.01052586,-0.02772367,0.00667195,0.22578433,0.28837004,B0;B8;BP;CJ;CZ;G6,0.45156866
STATE_C,HALLMARK_COAGULATION,14,55,6,0.01531952,0.28628618,0.02368001,-0.00868321,0.05604323,0.14861747,-0.54574092,B0;B8;BP;CJ;CZ;G6,0.35385112
STATE_C,HALLMARK_COMPLEMENT,14,55,6,0.03905359,0.77326553,0.04753937,0.01758681,0.07749193,0.00235019,-0.21728565,B0;B8;BP;CJ;CZ;G6,0.01958492
STATE_C,HALLMARK_DNA_REPAIR,14,55,6,0.00524209,0.21909101,0.00164675,-0.01344632,0.01673982,0.82806705,0.68585983,B0;B8;BP;CJ;CZ;G6,0.9200745
STATE_C,HALLMARK_E2F_TARGETS,14,55,6,0.01269294,0.26852776,0.00979425,-0.01898172,0.03857023,0.49880043,0.22836998,B0;B8;BP;CJ;CZ;G6,0.66857561
STATE_C,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,14,55,6,-0.00884963,-0.08845885,0.01941158,-0.03888399,0.07770716,0.50811746,-1.19348995,B0;B8;BP;CJ;CZ;G6,0.66857561
STATE_C,HALLMARK_ESTROGEN_RESPONSE_EARLY,14,55,6,-0.00623029,-0.19210748,-0.0009809,-0.02119258,0.01923077,0.9230288,0.84255883,B0;B8;BP;CJ;CZ;G6,0.96148833
STATE_C,HALLMARK_ESTROGEN_RESPONSE_LATE,14,55,6,0.00329167,0.12407485,0.0044523,-0.01216656,0.02107116,0.59419444,-0.3525963,B0;B8;BP;CJ;CZ;G6,0.69092377
STATE_C,HALLMARK_FATTY_ACID_METABOLISM,14,55,6,-0.01338673,-0.26507101,-0.02156911,-0.05174668,0.00860846,0.15809648,-0.61123062,B0;B8;BP;CJ;CZ;G6,0.35931018
STATE_C,HALLMARK_G2M_CHECKPOINT,14,55,6,0.00184744,0.03915052,0.00245542,-0.0264209,0.03133175,0.86558141,-0.32909523,B0;B8;BP;CJ;CZ;G6,0.94084936
STATE_C,HALLMARK_GLYCOLYSIS,14,55,6,0.01074563,0.27593785,0.0117426,-0.01200024,0.03548545,0.32668182,-0.0927794,B0;B8;BP;CJ;CZ;G6,0.56244505
STATE_C,HALLMARK_HEDGEHOG_SIGNALING,14,55,6,-0.02818154,-0.61466524,-0.01993341,-0.04876547,0.00889865,0.17192642,0.29267846,B0;B8;BP;CJ;CZ;G6,0.37375309
STATE_C,HALLMARK_HEME_METABOLISM,14,55,6,-0.01501307,-0.60069174,-0.01503068,-0.03035267,0.00029132,0.05437889,-0.0011726,B0;B8;BP;CJ;CZ;G6,0.24012533
STATE_C,HALLMARK_HYPOXIA,14,55,6,-0.00202733,-0.04295005,0.00930059,-0.01778566,0.03638684,0.49502906,-3.58760893,B0;B8;BP;CJ;CZ;G6,0.66857561
