state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
STATE_C,chr9q,14,55,-0.0091926,0.000524,-0.08952755,-0.05817578,-0.19532757,0.39091345,0.7367215,-0.15064935,lower_in_core
STATE_C,chr10p,14,55,0.03032481,0.00450771,-0.00096397,-0.01805982,0.14373703,0.20204725,0.70716537,0.22337662,higher_in_core
STATE_C,chr10q,14,55,0.0247,-0.0065634,-0.00428623,-0.05186292,0.36676661,0.04975039,0.30472114,0.34285714,higher_in_core
STATE_C,chr11p,14,55,0.03134369,0.0273,0.02542796,0.04277414,-0.29884435,0.86375798,0.92503483,-0.03116883,lower_in_core
STATE_C,chr11q,14,55,0.02624292,0.0216,0.01618524,0.03666188,-0.34245261,0.59632114,0.85081484,-0.09350649,lower_in_core
STATE_C,chr12p,14,55,0.0352,0.04044839,0.04909537,0.07830383,-0.32336074,0.64904541,0.85081484,-0.08051948,lower_in_core
STATE_C,chr12q,14,55,0.03496892,0.04250087,0.04959423,0.0812753,-0.35240992,0.49719941,0.84009555,-0.11948052,lower_in_core
STATE_C,chr13p,14,55,0.0,0.0,0.0,0.0,,,,0.0,
STATE_C,chr13q,14,55,0.01355,0.0135,-0.00023294,-0.00300157,0.02735787,0.86375922,0.92503483,-0.03116883,lower_in_core
STATE_C,chr14p,14,55,0.0,0.0,0.0,0.0,,,,0.0,
STATE_C,chr14q,14,55,-0.29325702,-0.0347719,-0.29424139,-0.1223397,-0.89576155,0.00239412,0.11731188,-0.52987013,lower_in_core
STATE_C,chr15p,14,55,0.0,0.0,0.0,0.0,,,,0.0,
STATE_C,chr15q,14,55,0.03724159,0.01336062,0.03561658,0.02153812,0.19394972,0.1916946,0.70716537,0.22857143,higher_in_core
STATE_C,chr16p,14,55,0.0309,0.0359,0.04454108,0.05706814,-0.13234633,0.80553087,0.92503483,-0.04415584,lower_in_core
STATE_C,chr16q,14,55,0.0342852,0.03027771,0.03979625,0.05242563,-0.13031448,0.94646688,0.95834925,0.01298701,higher_in_core
STATE_C,chr17p,14,55,0.02835,0.0184,0.02948114,0.01090519,0.215049,0.32472224,0.7367215,0.17272727,higher_in_core
STATE_C,chr17q,14,55,0.031492,0.0223329,0.03919743,0.0263655,0.1591257,0.26952383,0.72044313,0.19350649,higher_in_core
STATE_C,chr18p,14,55,-0.04703095,0.0276,-0.07299728,0.00384445,-0.65264831,0.01629165,0.247063,-0.41948052,lower_in_core
STATE_C,chr18q,14,55,-0.0284849,0.0276,-0.07048491,0.00980292,-0.62663227,0.02521051,0.247063,-0.39090909,lower_in_core
STATE_C,chr19p,14,55,0.02340891,0.0194,0.01843437,0.02487686,-0.10671069,0.86962734,0.92503483,0.02987013,higher_in_core
STATE_C,chr19q,14,55,0.0276,0.0194,0.03192516,0.030595,0.02477129,0.37867319,0.7367215,0.15454545,higher_in_core
