state_id,pathway,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,direction,p_value,q_value,available_n_core,available_n_rest
STATE_C,HALLMARK_G2M_CHECKPOINT,6,86,0.08749306,0.0927742,0.11415162,0.10231385,0.24699468,up,0.89574917,0.91402977,6,86
STATE_C,HALLMARK_GLYCOLYSIS,6,86,0.41140958,0.39135244,0.39426321,0.38889688,0.13692917,up,0.43407897,0.67170967,6,86
STATE_C,HALLMARK_HEDGEHOG_SIGNALING,6,86,0.08813165,0.13613907,0.08976601,0.13655924,-1.02849242,down,0.02245425,0.11227125,6,86
STATE_C,HALLMARK_HEME_METABOLISM,6,86,0.313406,0.31936255,0.317925,0.31448714,0.12218866,up,0.83511073,0.91402977,6,86
STATE_C,HALLMARK_HYPOXIA,6,86,0.46354387,0.46039866,0.42519365,0.45420545,-0.66262434,down,0.6939414,0.82612071,6,86
STATE_C,HALLMARK_IL2_STAT5_SIGNALING,6,86,0.26049063,0.28293893,0.25015701,0.27362376,-0.5731349,down,0.34759157,0.63524736,6,86
STATE_C,HALLMARK_IL6_JAK_STAT3_SIGNALING,6,86,0.36120211,0.29522916,0.33798189,0.29334266,0.55958673,up,0.12941641,0.35949003,6,86
STATE_C,HALLMARK_INFLAMMATORY_RESPONSE,6,86,0.25740444,0.19312603,0.22587051,0.1829645,0.52586203,up,0.10278018,0.3426006,6,86
STATE_C,HALLMARK_INTERFERON_ALPHA_RESPONSE,6,86,0.50548495,0.40985043,0.48658515,0.40546129,1.12816799,up,0.04908382,0.20451592,6,86
STATE_C,HALLMARK_INTERFERON_GAMMA_RESPONSE,6,86,0.42985552,0.34756874,0.40929227,0.34529857,0.83701752,up,0.09271792,0.3426006,6,86
STATE_C,HALLMARK_KRAS_SIGNALING_DN,6,86,-0.16038216,-0.15018558,-0.15965272,-0.15033804,-0.31877827,down,0.38945152,0.67080898,6,86
STATE_C,HALLMARK_KRAS_SIGNALING_UP,6,86,0.17616226,0.20444502,0.17759116,0.1927479,-0.27980954,down,0.46214304,0.67962212,6,86
STATE_C,HALLMARK_MITOTIC_SPINDLE,6,86,0.14296253,0.18008808,0.16240676,0.17544905,-0.32330525,down,0.30856736,0.63228634,6,86
STATE_C,HALLMARK_MTORC1_SIGNALING,6,86,0.44976004,0.42368387,0.45199393,0.42267322,0.88625808,up,0.03997599,0.18170905,6,86
STATE_C,HALLMARK_MYC_TARGETS_V1,6,86,0.55835835,0.55948865,0.56635496,0.55890589,0.30058659,up,0.68255146,0.82612071,6,86
STATE_C,HALLMARK_MYC_TARGETS_V2,6,86,0.25409932,0.21851501,0.24963174,0.23006783,0.35589121,up,0.35573852,0.63524736,6,86
STATE_C,HALLMARK_MYOGENESIS,6,86,0.17784534,0.26579563,0.18384116,0.26056855,-2.14670425,down,1.501e-05,0.0007505,6,86
STATE_C,HALLMARK_NOTCH_SIGNALING,6,86,0.26644786,0.32352891,0.22855184,0.31712994,-2.03965425,down,0.00039702,0.006617,6,86
STATE_C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,6,86,0.59109846,0.5768247,0.60422683,0.57906099,0.51046292,up,0.44332838,0.67170967,6,86
STATE_C,HALLMARK_P53_PATHWAY,6,86,0.38002332,0.37679006,0.37433865,0.37487538,-0.01890054,down,0.89574917,0.91402977,6,86
STATE_C,HALLMARK_PANCREAS_BETA_CELLS,6,86,0.24923923,0.25979383,0.25031475,0.2619361,-0.1156911,down,0.75183694,0.86771523,6,86
STATE_C,HALLMARK_PEROXISOME,6,86,0.38459221,0.35719568,0.3707922,0.35087758,0.55559073,up,0.12133881,0.35949003,6,86
STATE_C,HALLMARK_PI3K_AKT_MTOR_SIGNALING,6,86,0.32616387,0.31837351,0.32968321,0.31832081,0.54009788,up,0.6048549,0.81016086,6,86
STATE_C,HALLMARK_PROTEIN_SECRETION,6,86,0.49324504,0.46078468,0.48503818,0.45015192,0.60600887,up,0.16568863,0.43602271,6,86
STATE_C,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,6,86,0.53319181,0.50915349,0.53203034,0.50707961,0.97562104,up,0.01946977,0.10816539,6,86
STATE_C,HALLMARK_SPERMATOGENESIS,6,86,-0.16499947,-0.17483882,-0.14927675,-0.16602908,0.44320412,up,0.61572225,0.81016086,6,86
STATE_C,HALLMARK_TGF_BETA_SIGNALING,6,86,0.41144249,0.48367233,0.38632621,0.47112505,-1.56880238,down,0.0018698,0.018698,6,86
STATE_C,HALLMARK_TNFA_SIGNALING_VIA_NFKB,6,86,0.41189425,0.40215811,0.38437291,0.39001972,-0.07469102,down,0.64880102,0.82612071,6,86
STATE_C,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,6,86,0.43209325,0.42158072,0.44193794,0.42198019,0.66113226,up,0.20867278,0.49683995,6,86
STATE_C,HALLMARK_UV_RESPONSE_DN,6,86,0.16857138,0.24698009,0.16629416,0.24293239,-1.42995951,down,0.00247543,0.02062858,6,86
STATE_C,HALLMARK_UV_RESPONSE_UP,6,86,0.40059542,0.39891479,0.40987689,0.40036273,0.50325802,up,0.41590157,0.67080898,6,86
STATE_C,HALLMARK_WNT_BETA_CATENIN_SIGNALING,6,86,0.06376189,0.1605751,0.0543958,0.1608754,-1.91740386,down,0.00022074,0.0055185,6,86
STATE_C,HALLMARK_XENOBIOTIC_METABOLISM,6,86,0.37087587,0.34265524,0.36038859,0.33417427,0.64046384,up,0.12941641,0.35949003,6,86
