state_id,pathway,state_n,rest_n,tss_level_n,unadjusted_smd,tss_adjusted_beta,tss_adjusted_ci_low,tss_adjusted_ci_high,tss_adjusted_p_value,effect_attenuation,tss_levels,tss_adjusted_q_value
STATE_C,HALLMARK_ANGIOGENESIS,11,48,5,-1.31858233,-0.11371785,-0.18266773,-0.04476797,0.00169252,0.91375749,B0;B8;BP;CJ;CZ,0.02663725
STATE_C,HALLMARK_APICAL_JUNCTION,11,48,5,-0.83344932,-0.03730477,-0.07636683,0.00175729,0.06082914,0.9552405,B0;B8;BP;CJ;CZ,0.2027638
STATE_C,HALLMARK_APICAL_SURFACE,11,48,5,-0.18224711,-0.01158619,-0.05132018,0.02814781,0.56112158,0.93642596,B0;B8;BP;CJ;CZ,0.83359437
STATE_C,HALLMARK_APOPTOSIS,11,48,5,0.32448736,0.0149138,-0.01841324,0.04824084,0.37347503,0.95403888,B0;B8;BP;CJ;CZ,0.71822121
STATE_C,HALLMARK_BILE_ACID_METABOLISM,11,48,5,0.41737577,0.00275957,-0.05215028,0.05766943,0.92008832,0.99338828,B0;B8;BP;CJ;CZ,0.93886563
STATE_C,HALLMARK_CHOLESTEROL_HOMEOSTASIS,11,48,5,-0.27670518,0.00453838,-0.02420052,0.03327729,0.75268295,0.98359849,B0;B8;BP;CJ;CZ,0.87521273
STATE_C,HALLMARK_COAGULATION,11,48,5,-0.13868398,-0.00491543,-0.05391304,0.04408217,0.84129977,0.96455659,B0;B8;BP;CJ;CZ,0.91445627
STATE_C,HALLMARK_COMPLEMENT,11,48,5,0.82952493,0.04059482,-0.00707062,0.08826026,0.09344755,0.95106257,B0;B8;BP;CJ;CZ,0.26869024
STATE_C,HALLMARK_DNA_REPAIR,11,48,5,0.11299288,0.01340723,-0.01283042,0.03964488,0.3100562,0.88134447,B0;B8;BP;CJ;CZ,0.65011914
STATE_C,HALLMARK_E2F_TARGETS,11,48,5,0.72627892,0.01887219,-0.03498497,0.07272934,0.48523306,0.97401524,B0;B8;BP;CJ;CZ,0.83359437
STATE_C,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,11,48,5,-0.71217266,-0.07557711,-0.16134142,0.0101872,0.0829011,0.89387811,B0;B8;BP;CJ;CZ,0.25906594
STATE_C,HALLMARK_ESTROGEN_RESPONSE_EARLY,11,48,5,-0.20150949,-0.0097433,-0.04349022,0.02400362,0.56498001,0.95164842,B0;B8;BP;CJ;CZ,0.83359437
STATE_C,HALLMARK_ESTROGEN_RESPONSE_LATE,11,48,5,0.01238469,-0.00658674,-0.03555456,0.02238108,0.65020361,0.46815453,B0;B8;BP;CJ;CZ,0.83359437
STATE_C,HALLMARK_FATTY_ACID_METABOLISM,11,48,5,0.06040807,-0.01192397,-0.06363355,0.03978561,0.64560548,0.80260972,B0;B8;BP;CJ;CZ,0.83359437
STATE_C,HALLMARK_G2M_CHECKPOINT,11,48,5,0.56196171,0.00154839,-0.04924348,0.05234027,0.95147354,0.99724467,B0;B8;BP;CJ;CZ,0.95147354
STATE_C,HALLMARK_GLYCOLYSIS,11,48,5,0.25236464,0.01990577,-0.02028798,0.06009951,0.32505957,0.92112299,B0;B8;BP;CJ;CZ,0.65011914
STATE_C,HALLMARK_HEDGEHOG_SIGNALING,11,48,5,-0.92204106,-0.05995834,-0.10198316,-0.01793352,0.00602001,0.93497216,B0;B8;BP;CJ;CZ,0.04191325
