core_a,core_b,pathway,smd_a_vs_b,p_value,q_value,median_a,median_b
STATE_B,STATE_C,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,1.44139189,0.00124774,0.0124774,0.4658265,0.40113069
STATE_B,STATE_C,HALLMARK_ESTROGEN_RESPONSE_EARLY,-0.24437318,0.4910854,0.61385675,0.20792325,0.22930422
STATE_B,STATE_C,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.26699267,0.79623804,0.82941462,0.2457196,0.24624964
STATE_B,STATE_C,HALLMARK_FATTY_ACID_METABOLISM,-0.91904099,0.04310264,0.10262533,0.36408982,0.39537376
STATE_B,STATE_C,HALLMARK_G2M_CHECKPOINT,-0.10477767,0.69851323,0.75925351,0.11829827,0.11162714
STATE_B,STATE_C,HALLMARK_GLYCOLYSIS,0.06899804,0.79623804,0.82941462,0.3924002,0.39914687
STATE_B,STATE_C,HALLMARK_HEDGEHOG_SIGNALING,0.97279989,0.03141126,0.09200782,0.13695005,0.11661933
STATE_B,STATE_C,HALLMARK_HEME_METABOLISM,-0.82145713,0.00393353,0.02458456,0.28713241,0.30941388
STATE_B,STATE_C,HALLMARK_HYPOXIA,0.62213171,0.21200996,0.32122721,0.47384598,0.46323766
STATE_B,STATE_C,HALLMARK_IL2_STAT5_SIGNALING,0.10645649,0.60554879,0.68812362,0.29188236,0.30334729
STATE_B,STATE_C,HALLMARK_IL6_JAK_STAT3_SIGNALING,-0.64391956,0.01416393,0.05447665,0.33439975,0.40657496
STATE_B,STATE_C,HALLMARK_INFLAMMATORY_RESPONSE,-0.56856999,0.01111216,0.05050982,0.22279436,0.27636818
STATE_B,STATE_C,HALLMARK_INTERFERON_ALPHA_RESPONSE,-0.97888736,0.03496297,0.09200782,0.41784437,0.49298365
STATE_B,STATE_C,HALLMARK_INTERFERON_GAMMA_RESPONSE,-0.9405175,0.01416393,0.05447665,0.36644859,0.44658356
STATE_B,STATE_C,HALLMARK_KRAS_SIGNALING_DN,0.43423407,0.12130652,0.2246417,-0.14879423,-0.17819835
STATE_B,STATE_C,HALLMARK_KRAS_SIGNALING_UP,0.03879452,0.54683433,0.66687113,0.22698286,0.23638443
STATE_B,STATE_C,HALLMARK_MITOTIC_SPINDLE,-0.00491675,0.96567246,0.96567246,0.1815634,0.16800792
STATE_B,STATE_C,HALLMARK_MTORC1_SIGNALING,-0.72053641,0.04310264,0.10262533,0.41945056,0.44978301
STATE_B,STATE_C,HALLMARK_MYC_TARGETS_V1,-0.3459241,0.16846062,0.29044934,0.54745911,0.5704714
STATE_B,STATE_C,HALLMARK_MYC_TARGETS_V2,0.25198841,0.60554879,0.68812362,0.25053296,0.25002977
STATE_B,STATE_C,HALLMARK_MYOGENESIS,2.34461596,3.604e-05,0.001802,0.27779035,0.20626535
STATE_B,STATE_C,HALLMARK_NOTCH_SIGNALING,1.1796616,0.00588117,0.02940585,0.33018005,0.27017917
STATE_B,STATE_C,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.50775131,0.24524169,0.36064954,0.55014959,0.58014499
STATE_B,STATE_C,HALLMARK_P53_PATHWAY,0.41002429,0.28196674,0.40280963,0.39280549,0.38887667
STATE_B,STATE_C,HALLMARK_PANCREAS_BETA_CELLS,-1.30518436,0.00298269,0.02130493,0.17412054,0.2458167
STATE_B,STATE_C,HALLMARK_PEROXISOME,-0.89983419,0.03141126,0.09200782,0.31851926,0.34870517
STATE_B,STATE_C,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.93927531,0.02817365,0.09200782,0.3173116,0.33392388
STATE_B,STATE_C,HALLMARK_PROTEIN_SECRETION,-1.4797898,0.00107254,0.0124774,0.42172298,0.48769875
STATE_B,STATE_C,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,-0.58545983,0.19667106,0.30729853,0.5177821,0.52487325
STATE_B,STATE_C,HALLMARK_SPERMATOGENESIS,-0.17969798,0.635927,0.70658556,-0.18260443,-0.18233087
STATE_B,STATE_C,HALLMARK_TGF_BETA_SIGNALING,0.62496585,0.12130652,0.2246417,0.47695946,0.44751061
STATE_B,STATE_C,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.15109479,0.86332285,0.88094168,0.43056029,0.44804417
STATE_B,STATE_C,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.57706029,0.16846062,0.29044934,0.43510427,0.44130317
STATE_B,STATE_C,HALLMARK_UV_RESPONSE_DN,0.91699479,0.03496297,0.09200782,0.24127043,0.2073159
STATE_B,STATE_C,HALLMARK_UV_RESPONSE_UP,-0.41941379,0.36611957,0.49475618,0.4053709,0.40455282
STATE_B,STATE_C,HALLMARK_WNT_BETA_CATENIN_SIGNALING,1.39442877,0.00224619,0.01871825,0.194391,0.10473727
STATE_B,STATE_C,HALLMARK_XENOBIOTIC_METABOLISM,-0.58933836,0.18216108,0.29380819,0.33350907,0.3495684
