feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr14q,CORE01,CORE03,21,12,0.00275823,-0.33605,-0.02792147,-0.30837927,0.86507937,0.65873016,0.99206349,4.897e-05,0.00029382
chr14q,CORE01,CORE04,21,9,0.00275823,-0.0146,-0.02792147,-0.08688414,0.11111111,-0.44973545,0.68280423,0.65086357,1.0
chr14q,CORE02,CORE03,14,12,-0.06573707,-0.33605,-0.06814481,-0.30837927,0.67857143,0.33333333,0.92857143,0.00366027,0.01830135
chr14q,CORE02,CORE04,14,9,-0.06573707,-0.0146,-0.06814481,-0.08688414,0.03174603,-0.50793651,0.55555556,0.92471904,1.0
chr14q,CORE03,CORE04,12,9,-0.33605,-0.0146,-0.30837927,-0.08688414,-0.5,-0.88888889,-0.01851852,0.05966338,0.23865352
chr15q,CORE01,CORE02,21,14,0.0097,0.00642841,0.01311078,-0.00090378,0.1292517,-0.2994898,0.55102041,0.53333223,1.0
chr15q,CORE01,CORE03,21,12,0.0097,0.0386,0.01311078,0.04109605,-0.65873016,-0.92857143,-0.32539683,0.00201858,0.01211148
chr15q,CORE01,CORE04,21,9,0.0097,0.0437516,0.01311078,0.06603988,-0.1957672,-0.77777778,0.40740741,0.41529382,1.0
chr15q,CORE02,CORE03,14,12,0.00642841,0.0386,-0.00090378,0.04109605,-0.54761905,-0.89285714,-0.16666667,0.01926993,0.09634965
chr15q,CORE02,CORE04,14,9,0.00642841,0.0437516,-0.00090378,0.06603988,-0.36507937,-0.7781746,0.14285714,0.15637572,0.62550288
chr15q,CORE03,CORE04,12,9,0.0386,0.0437516,0.04109605,0.06603988,0.01851852,-0.55555556,0.59259259,0.97165437,1.0
chr16p,CORE01,CORE02,21,14,0.0067,0.04347725,0.02836813,0.02551518,-0.56462585,-0.8707483,-0.19047619,0.00547082,0.0273541
chr16p,CORE01,CORE03,21,12,0.0067,0.0341,0.02836813,0.03844363,-0.61111111,-0.92063492,-0.22222222,0.00419729,0.02518374
chr16p,CORE01,CORE04,21,9,0.0067,0.0455,0.02836813,0.08350185,-0.35449735,-0.86269841,0.18518519,0.13531752,0.54127008
chr16p,CORE02,CORE03,14,12,0.04347725,0.0341,0.02551518,0.03844363,0.0952381,-0.35714286,0.57142857,0.69967563,1.0
chr16p,CORE02,CORE04,14,9,0.04347725,0.0455,0.02551518,0.08350185,-0.07936508,-0.61904762,0.46031746,0.776814,1.0
chr16p,CORE03,CORE04,12,9,0.0341,0.0455,0.03844363,0.08350185,-0.22222222,-0.75925926,0.37037037,0.41377448,1.0
chr16q,CORE01,CORE02,21,14,0.00776626,0.03408577,0.01072707,0.01713787,-0.43537415,-0.79591837,-0.03384354,0.03250407,0.16252035
chr16q,CORE01,CORE03,21,12,0.00776626,0.03735,0.01072707,0.03320976,-0.67460317,-0.95238095,-0.30952381,0.0015651,0.0093906
chr16q,CORE01,CORE04,21,9,0.00776626,0.0452874,0.01072707,0.08280528,-0.44973545,-1.0,0.11111111,0.05733295,0.2293318
chr16q,CORE02,CORE03,14,12,0.03408577,0.03735,0.01713787,0.03320976,-0.02380952,-0.46428571,0.42857143,0.93850288,1.0
chr16q,CORE02,CORE04,14,9,0.03408577,0.0452874,0.01713787,0.08280528,-0.14285714,-0.65079365,0.39722222,0.59233895,1.0
chr16q,CORE03,CORE04,12,9,0.03735,0.0452874,0.03320976,0.08280528,-0.2037037,-0.74074074,0.38888889,0.45554509,1.0
chr17p,CORE01,CORE02,21,14,0.0084,0.00875,0.00882731,-0.01991772,0.00340136,-0.42176871,0.43197279,1.0,1.0
chr17p,CORE01,CORE03,21,12,0.0084,0.0306,0.00882731,0.03574811,-0.73809524,-0.95238095,-0.46031746,0.00053615,0.0032169
chr17p,CORE01,CORE04,21,9,0.0084,-0.0025,0.00882731,-0.09244205,0.22751323,-0.33333333,0.76719577,0.34191822,1.0
chr17p,CORE02,CORE03,14,12,0.00875,0.0306,-0.01991772,0.03574811,-0.54761905,-0.86904762,-0.11904762,0.0192493,0.0962465
chr17p,CORE02,CORE04,14,9,0.00875,-0.0025,-0.01991772,-0.09244205,0.19047619,-0.34920635,0.71428571,0.46880062,1.0
chr17p,CORE03,CORE04,12,9,0.0306,-0.0025,0.03574811,-0.09244205,0.55555556,0.01805556,1.0,0.03597988,0.14391952
chr17q,CORE01,CORE02,21,14,0.0086,0.00957552,0.00933539,0.03915979,-0.11904762,-0.50348639,0.32653061,0.56701047,1.0
chr17q,CORE01,CORE03,21,12,0.0086,0.03805355,0.00933539,0.04885126,-0.86507937,-0.99206349,-0.65873016,4.897e-05,0.00029382
chr17q,CORE01,CORE04,21,9,0.0086,0.0039,0.00933539,-0.04379018,0.00529101,-0.55555556,0.58756614,1.0,1.0
chr17q,CORE02,CORE03,14,12,0.00957552,0.03805355,0.03915979,0.04885126,-0.54761905,-0.91666667,-0.13095238,0.01926993,0.09634965
chr17q,CORE02,CORE04,14,9,0.00957552,0.0039,0.03915979,-0.04379018,0.17460317,-0.34920635,0.68253968,0.50833157,1.0
chr17q,CORE03,CORE04,12,9,0.03805355,0.0039,0.04885126,-0.04379018,0.40740741,-0.14814815,0.88888889,0.12652782,0.50611128
chr19q,CORE01,CORE02,21,14,0.0049,0.01807431,0.00792408,0.07026175,-0.43537415,-0.76870748,-0.04744898,0.03249192,0.1624596
