view,core_id,partition,best_jaccard,best_overlap_coefficient,best_recall,best_precision,jaccard_retention,delta_jaccard
RNA_only,CORE01,K4,0.34883721,0.83333333,0.83333333,0.375,0.63953488,-0.19661734
RNA_only,CORE01,K5,0.34090909,0.83333333,0.83333333,0.36585366,0.6060606,-0.22159091
RNA_only,CORE01,K6,0.34210526,0.72222222,0.72222222,0.39393939,0.36111111,-0.60526316
RNA_only,CORE01,K7,0.25,0.44444444,0.44444444,0.36363636,0.29411765,-0.6
RNA_only,CORE01,K8,0.32352941,0.61111111,0.61111111,0.40740741,0.44485294,-0.40374332
RNA_only,CORE02,K2,0.25,0.92857143,0.92857143,0.25490196,1.14285714,0.03125
RNA_only,CORE02,K3,0.31428571,0.78571429,0.78571429,0.34375,0.94285714,-0.01904762
RNA_only,CORE02,K4,0.35714286,0.71428571,0.71428571,0.41666667,0.73979593,-0.12561576
RNA_only,CORE02,K5,0.33333333,0.71428571,0.71428571,0.38461538,0.49999999,-0.33333334
RNA_only,CORE02,K6,0.28571429,0.57142857,0.57142857,0.36363636,0.46153847,-0.33333333
RNA_only,CORE02,K7,0.34782609,0.57142857,0.57142857,0.47058824,0.34782609,-0.65217391
RNA_only,CORE02,K8,0.29166667,0.5,0.5,0.41176471,0.33653846,-0.575
RNA_only,CORE03,K2,0.21153846,1.0,1.0,0.21153846,0.96367519,-0.00797374
RNA_only,CORE03,K3,0.20408163,0.90909091,0.90909091,0.20833333,0.64935065,-0.11020408
RNA_only,CORE03,K4,0.41666667,0.83333333,0.45454545,0.83333333,1.25000002,0.08333334
RNA_only,CORE03,K5,0.41666667,0.83333333,0.45454545,0.83333333,1.21212122,0.07291667
RNA_only,CORE03,K6,0.41666667,0.83333333,0.45454545,0.83333333,0.56818183,-0.31666666
RNA_only,CORE03,K7,0.41666667,0.83333333,0.45454545,0.83333333,0.45454546,-0.5
RNA_only,CORE03,K8,0.41666667,0.83333333,0.45454545,0.83333333,0.49242424,-0.42948718
RNA_only,CORE04,K2,0.19230769,0.90909091,0.90909091,0.19607843,1.11888111,0.02043269
RNA_only,CORE04,K3,0.25925926,0.63636364,0.63636364,0.30434783,1.55555553,0.09259259
