core_id,field,level,set_count,set_total,rest_count,rest_total,set_fraction,rest_fraction,frequency_difference,odds_ratio,q_value,set_mean,rest_mean,cliffs_delta,direction,cramers_v,epsilon_squared,available_n,missing_n
ROBUST_4V_CORE01_5V_CORE01,ct_scanner_model,Volume Zoom,0,14,4,69,0.0,0.057971,-0.057971,0.0,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_reconstruction_kernel,B20f,0,14,1,69,0.0,0.014493,-0.014493,0.0,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_reconstruction_kernel,B30f,0,14,11,69,0.0,0.15942,-0.15942,0.0,0.713584,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_reconstruction_kernel,B31f,0,14,11,69,0.0,0.15942,-0.15942,0.0,0.713584,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_reconstruction_kernel,SOFT,1,14,2,69,0.071429,0.028986,0.042443,2.576923,1.0,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_reconstruction_kernel,STANDARD,13,14,44,69,0.928571,0.637681,0.29089,7.386364,0.379715,,,,,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_slice_thickness,,,,,,,,,,0.713584,3.125,3.606884,-0.217391,lower_in_set,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_z_spacing,,,,,,,,,,0.838763,2.985714,3.422754,-0.170807,lower_in_set,,,,
ROBUST_4V_CORE01_5V_CORE01,ct_pixel_spacing,,,,,,,,,,1.0,0.799665,0.80715,-0.076605,lower_in_set,,,,
GLOBAL,tissue_source_site,,,,,,,,,,0.0976,,,,,0.181705,,83,0
GLOBAL,ct_phase,,,,,,,,,,0.048,,,,,0.213984,,83,0
GLOBAL,ct_manufacturer,,,,,,,,,,0.016,,,,,0.471711,,83,0
GLOBAL,ct_scanner_model,,,,,,,,,,0.090667,,,,,0.208637,,83,0
GLOBAL,ct_reconstruction_kernel,,,,,,,,,,0.0976,,,,,0.189095,,83,0
GLOBAL,ct_slice_thickness,,,,,,,,,,0.434748,,,,,,0.01242,83,0
GLOBAL,ct_z_spacing,,,,,,,,,,0.676394,,,,,,0.0,83,0
GLOBAL,ct_pixel_spacing,,,,,,,,,,0.715022,,,,,,0.0,83,0
