core_id,pathway,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,direction,p_value,q_value,available_n_core,available_n_rest
CORE02,HALLMARK_PANCREAS_BETA_CELLS,14,89,0.15651565,0.26922479,0.14814227,0.28006207,-1.49520968,down,1.66e-05,0.00083,14,89
CORE02,HALLMARK_PEROXISOME,14,89,0.32213884,0.35640858,0.32108915,0.35550059,-1.04197176,down,0.00318309,0.01591545,14,89
CORE02,HALLMARK_PI3K_AKT_MTOR_SIGNALING,14,89,0.31044264,0.32127969,0.31349166,0.32226518,-0.41137135,down,0.06124914,0.14225748,14,89
CORE02,HALLMARK_PROTEIN_SECRETION,14,89,0.39418302,0.46855271,0.40632862,0.46125078,-1.03363083,down,0.00028045,0.00350425,14,89
CORE02,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,14,89,0.51626043,0.51099929,0.51583288,0.50899284,0.2681375,up,0.32869566,0.44418332,14,89
CORE02,HALLMARK_SPERMATOGENESIS,14,89,-0.18533677,-0.17298912,-0.17493652,-0.16369384,-0.30626112,down,0.18899669,0.32585636,14,89
CORE02,HALLMARK_TGF_BETA_SIGNALING,14,89,0.4732516,0.47847413,0.46076768,0.46812603,-0.13176425,down,0.71101795,0.78848476,14,89
CORE02,HALLMARK_TNFA_SIGNALING_VIA_NFKB,14,89,0.43490969,0.40135224,0.43827356,0.38829341,0.69727434,up,0.008734,0.03359231,14,89
CORE02,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,14,89,0.42865532,0.42715059,0.42681045,0.42751221,-0.02161467,down,0.90425443,0.90425443,14,89
CORE02,HALLMARK_UV_RESPONSE_DN,14,89,0.23355594,0.24577305,0.23537727,0.23856681,-0.05813026,down,0.59995942,0.7142374,14,89
CORE02,HALLMARK_UV_RESPONSE_UP,14,89,0.40971121,0.4005925,0.40682039,0.4012137,0.30132208,up,0.28762218,0.41715269,14,89
CORE02,HALLMARK_WNT_BETA_CATENIN_SIGNALING,14,89,0.20445286,0.15412156,0.19212986,0.14918164,0.73430288,up,0.0196166,0.06130188,14,89
CORE02,HALLMARK_XENOBIOTIC_METABOLISM,14,89,0.33582983,0.3447559,0.32648734,0.3371579,-0.26502022,down,0.29200688,0.41715269,14,89
CORE03,HALLMARK_ADIPOGENESIS,11,92,0.49152912,0.46648553,0.48950169,0.4633213,0.82016913,up,0.00903482,0.0451741,11,92
CORE03,HALLMARK_ALLOGRAFT_REJECTION,11,92,0.15177651,0.24126851,0.13850983,0.25801672,-1.2772005,down,0.00172471,0.03061264,11,92
CORE03,HALLMARK_ANDROGEN_RESPONSE,11,92,0.43112883,0.40002693,0.42905535,0.39307954,0.69317763,up,0.03142996,0.0785749,11,92
CORE03,HALLMARK_ANGIOGENESIS,11,92,0.41730376,0.46606055,0.44617296,0.45783916,-0.14072016,down,0.65767123,0.73074581,11,92
CORE03,HALLMARK_APICAL_JUNCTION,11,92,0.27334438,0.29640643,0.27057694,0.29090279,-0.5053561,down,0.26909149,0.40771438,11,92
CORE03,HALLMARK_APICAL_SURFACE,11,92,0.08545271,0.08893344,0.08918119,0.08292027,0.12972787,up,0.75276432,0.79258869,11,92
CORE03,HALLMARK_APOPTOSIS,11,92,0.4245426,0.44409349,0.41096914,0.43870601,-0.78659284,down,0.02671526,0.07030332,11,92
CORE03,HALLMARK_BILE_ACID_METABOLISM,11,92,0.18876088,0.17035962,0.18849683,0.16713106,0.40725188,up,0.28321565,0.4164936,11,92
CORE03,HALLMARK_CHOLESTEROL_HOMEOSTASIS,11,92,0.31397734,0.32081668,0.32036597,0.32214007,-0.06099991,down,0.64996666,0.73074581,11,92
CORE03,HALLMARK_COAGULATION,11,92,0.33692148,0.37902576,0.31974998,0.37652417,-1.25184801,down,0.01054747,0.04794305,11,92
CORE03,HALLMARK_COMPLEMENT,11,92,0.26155557,0.31599244,0.25701678,0.30913978,-1.08824379,down,0.01908905,0.05965328,11,92
CORE03,HALLMARK_DNA_REPAIR,11,92,0.27656598,0.30013022,0.28281726,0.30245459,-0.74356084,down,0.02138733,0.06290391,11,92
CORE03,HALLMARK_E2F_TARGETS,11,92,0.07421793,0.10290939,0.07199401,0.1113265,-0.78655754,down,0.00400612,0.03061264,11,92
CORE03,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,11,92,0.32971565,0.40840665,0.34625315,0.40018279,-0.60663813,down,0.08462261,0.16924522,11,92
CORE03,HALLMARK_ESTROGEN_RESPONSE_EARLY,11,92,0.24823247,0.22960557,0.2375643,0.228655,0.25841359,up,0.42632294,0.56095124,11,92
CORE03,HALLMARK_ESTROGEN_RESPONSE_LATE,11,92,0.25589874,0.2466736,0.25669255,0.24461534,0.43615541,up,0.29290603,0.41843719,11,92
