matrix,core_a,core_b,mean_similarity
wxs,CORE03,CORE08,0.0059251171515849145
wxs,CORE03,CORE09,0.0019456637450791933
wxs,CORE03,CORE10,0.0030711682646339467
wxs,CORE04,CORE05,0.007564436267600056
wxs,CORE04,CORE06,0.006401140449916082
wxs,CORE04,CORE07,0.011875686200602076
wxs,CORE04,CORE08,0.013160131001026172
wxs,CORE04,CORE09,0.01141680233427797
wxs,CORE04,CORE10,0.012147375189064561
wxs,CORE05,CORE06,0.43635698280388524
wxs,CORE05,CORE07,0.004107785921516355
wxs,CORE05,CORE08,0.0051603562076999185
wxs,CORE05,CORE09,0.007164035251447978
wxs,CORE05,CORE10,0.00752299468247402
wxs,CORE06,CORE07,0.0025060781549379268
wxs,CORE06,CORE08,0.0038770799672651693
wxs,CORE06,CORE09,0.0057106433697319894
wxs,CORE06,CORE10,0.00401975974411337
wxs,CORE07,CORE08,0.011282753122733588
wxs,CORE07,CORE09,0.016931961856832854
wxs,CORE07,CORE10,0.015743261144652753
wxs,CORE08,CORE09,0.009658504947867184
wxs,CORE08,CORE10,0.013715085518924459
wxs,CORE09,CORE10,0.021278685405331274
