core_a,core_b,feature,fisher_p,q_value,odds_ratio,ci_low,ci_high,core_a_frequency,core_b_frequency,frequency_difference
CORE02,CORE04,mutation::SETD2,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE04,mutation::SPTA1,0.07173913,1.0,0.08374384,0.00384176,1.82547414,0.0,0.2727272727272727,-0.2727272727272727
CORE02,CORE04,mutation::TP53,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE04,mutation::TSC1,1.0,1.0,0.79310345,0.01458921,43.1149501,0.0,0.0,0.0
CORE02,CORE04,mutation::TSC2,1.0,1.0,2.55555556,0.09464531,69.0035712,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE04,mutation::TTN,0.44,1.0,0.24137931,0.008923,6.52963871,0.0,0.09090909090909091,-0.09090909090909091
CORE02,CORE04,mutation::VHL,0.69682999,1.0,1.46153846,0.31122803,6.86343923,0.6428571428571429,0.5454545454545454,0.09740259740259749
CORE02,CORE05,mutation::ARID1A,1.0,1.0,1.22222222,0.04285016,34.8616506,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE05,mutation::ATM,1.0,1.0,2.2,0.08987835,53.85056722,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE05,mutation::BAP1,0.27218782,1.0,0.28,0.03373757,2.32381913,0.14285714285714285,0.4,-0.2571428571428572
CORE02,CORE05,mutation::CDKN2A,1.0,1.0,0.37931034,0.00666812,21.57673143,0.0,0.0,0.0
CORE02,CORE05,mutation::DST,1.0,1.0,1.22222222,0.04285016,34.8616506,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE05,mutation::ELOC,1.0,1.0,0.37931034,0.00666812,21.57673143,0.0,0.0,0.0
CORE02,CORE05,mutation::FLG,0.05847953,1.0,0.04827586,0.00186615,1.24886247,0.0,0.4,-0.4
CORE02,CORE05,mutation::KDM5C,1.0,1.0,1.22222222,0.04285016,34.8616506,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE05,mutation::KMT2C,1.0,1.0,0.37931034,0.00666812,21.57673143,0.0,0.0,0.0
CORE02,CORE05,mutation::LYST,1.0,1.0,2.2,0.08987835,53.85056722,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE05,mutation::MTOR,1.0,1.0,1.22222222,0.04285016,34.8616506,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE05,mutation::MUC16,1.0,1.0,1.22222222,0.04285016,34.8616506,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE05,mutation::PBRM1,1.0,1.0,0.91304348,0.10102093,8.25223475,0.21428571428571427,0.2,0.014285714285714263
