pathway,SUBTYPE01,SUBTYPE02,SUBTYPE03,SUBTYPE04,SUBTYPE05
REACTOME_AMINO_ACIDS_REGULATE_MTORC1,-1.7653013874896988,-1.1823064020159522,-1.5937684957063716,0.6903706586237583,2.031627487217823
REACTOME_AMPK_INDUCED_ERAD_AND_LYSOSOME_MEDIATED_DEGRADATION_OF_PD_L1_CD274,-1.7286918127820885,-1.5969333093263884,-1.6612644146562034,1.3232223416089384,1.9409022090392902
REACTOME_AMYLOID_FIBER_FORMATION,-1.2054497465394471,-1.6108234444400664,-1.4450320923799118,0.990753215781224,1.4791917377967276
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS,-1.363643735741784,-1.6572261042095147,0.7911402808762268,2.092476536780515,0.9678968874874939
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,-1.789115797344391,-2.1128566544603045,-1.1575959186158957,2.3016765644391852,1.1416774302956638
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,-1.4064327824455551,-1.0489164191010705,-1.086799773937768,0.9891942158873749,1.7568048411911432
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,-1.470570741766027,-1.9995944598986624,-1.6987184334015968,2.080535881246345,1.2314920421483584
REACTOME_ANTIMICROBIAL_PEPTIDES,-1.2515336747144903,-1.6369439282687817,-0.8452094187264562,1.5601716448191865,1.1042150257258454
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,-1.808416481238923,-2.003633023146166,-1.9127254463893488,1.8662279828043826,1.9860029615013142
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,-1.75114027739254,-1.9693790675486929,-1.849947124625826,1.8703852214082355,1.959845929033906
REACTOME_ARACHIDONATE_METABOLISM,-1.5777020783266562,-1.4271749791838142,-1.226104037544848,1.9105645500563424,-1.1290373789227715
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,-1.796203605682035,-1.328509861710496,-0.8138617552131345,-0.9784819569463337,1.822236828013545
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS,-1.6028996311676331,-1.3924022938895844,-1.6109587402753087,1.0674198052549568,1.0042235416859624
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,-1.7912443371327296,-1.84335545531411,1.1689446762154998,0.6161751753994903,1.4496687384193458
REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS,-1.6749078977219274,-1.7059203300515646,-1.7561000449505633,1.586545753678808,1.7937212507196774
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,-1.9064694564235387,-1.7719764340545876,-1.7534432795854344,1.7614636703450979,1.8847337761211311
REACTOME_AUTOPHAGY,-1.4872137436792539,-0.9469713884232587,-1.0761895926478255,-1.2979025379581093,1.7437121863057161
REACTOME_AZATHIOPRINE_ADME,-1.4211709426407875,-1.6307135086806706,-0.7469698403911607,1.4490924779615342,1.1722178132954284
REACTOME_BBSOME_MEDIATED_CARGO_TARGETING_TO_CILIUM,0.6193720555973073,-0.5636708448045359,1.5150405692048579,-1.9415204275719264,1.363591426053418
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,-1.4640208259295915,-1.4714032956176493,-1.2708207031427166,1.6649063133729372,1.1222429481090883
REACTOME_BETA_CATENIN_PHOSPHORYLATION_CASCADE,-1.377416903486586,1.0751246739628284,-0.5934187499728495,-1.607255669622866,1.6700673454838477
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,-1.5602913213976501,-1.602192293860022,-0.8845705350704008,0.9728032802533142,1.0667600762508822
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,-1.3581673421020477,0.8371622818207322,-0.8164098540630059,-1.85935134136742,2.0422089179557372
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,-1.839706341366156,-1.9325356368410245,-1.896413127160942,1.7981388482555167,1.8905407326993504
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,-1.854879817574259,-1.3816193070315204,-1.2466247553129826,1.4935090769442327,1.7660595659278036
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,-0.8434499027234416,-1.6241570929605276,-1.3801230931971427,1.5898485368607687,1.3672242683227753
REACTOME_CELL_CYCLE_CHECKPOINTS,-1.2797643851565073,-1.6475890862456413,-0.9977200899693927,1.5419049519976828,1.5029686517764538
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,-0.7666481936907437,-2.09158493631709,-1.5760914776657065,2.4543056897026445,-2.112384683979906
