feature,group_a,group_b,n_a,n_b,median_a,median_b,cliffs_delta,ci_low,ci_high,p_value,p_adjusted_holm
prob_hemorrhage,SUBTYPE01,SUBTYPE02,10,15,0.0005036211112457443,0.0005124123076232867,-0.06666666666666667,-0.5333333333333333,0.4266666666666667,0.8028850291124622,1.0
prob_hemorrhage,SUBTYPE01,SUBTYPE03,10,11,0.0005036211112457443,0.0027464553335242656,-0.38181818181818183,-0.8363636363636363,0.14545454545454545,0.14886094830032745,0.8931656898019646
prob_hemorrhage,SUBTYPE01,SUBTYPE04,10,16,0.0005036211112457443,0.0016215899463428109,-0.475,-0.85,-0.05,0.048106827888519395,0.38485462310815516
prob_hemorrhage,SUBTYPE01,SUBTYPE05,10,27,0.0005036211112457443,0.0015488322756708073,-0.4962962962962963,-0.8444444444444444,-0.08888888888888889,0.022950838532804142,0.20655754679523727
prob_hemorrhage,SUBTYPE02,SUBTYPE03,15,11,0.0005124123076232867,0.0027464553335242656,-0.3212121212121212,-0.7575757575757576,0.15151515151515152,0.17720910834120118,0.8931656898019646
prob_hemorrhage,SUBTYPE02,SUBTYPE04,15,16,0.0005124123076232867,0.0016215899463428109,-0.38333333333333336,-0.7166666666666667,0.016874999999998863,0.07209061785053761,0.5046343249537633
prob_hemorrhage,SUBTYPE02,SUBTYPE05,15,27,0.0005124123076232867,0.0015488322756708073,-0.4469135802469136,-0.7432098765432099,-0.08629629629629697,0.018152254426323476,0.18152254426323478
prob_hemorrhage,SUBTYPE03,SUBTYPE04,11,16,0.0027464553335242656,0.0016215899463428109,0.045454545454545456,-0.42045454545454547,0.5227272727272727,0.8628775594244169,1.0
prob_hemorrhage,SUBTYPE03,SUBTYPE05,11,27,0.0027464553335242656,0.0015488322756708073,0.003367003367003367,-0.44107744107744107,0.45454545454545453,1.0,1.0
prob_hemorrhage,SUBTYPE04,SUBTYPE05,16,27,0.0016215899463428109,0.0015488322756708073,-0.041666666666666664,-0.39814814814814814,0.3472222222222222,0.8308819783158858,1.0
prob_inflammation,SUBTYPE01,SUBTYPE02,10,15,0.0008684592937949396,0.0005632454148087042,0.04,-0.4266666666666667,0.49333333333333335,0.8897069355331012,1.0
prob_inflammation,SUBTYPE01,SUBTYPE03,10,11,0.0008684592937949396,0.0006294113519041502,0.07272727272727272,-0.4186363636363636,0.5640909090909065,0.8053241706182483,1.0
prob_inflammation,SUBTYPE01,SUBTYPE04,10,16,0.0008684592937949396,0.002591049982280697,-0.3375,-0.725,0.1,0.16251203737781206,1.0
prob_inflammation,SUBTYPE01,SUBTYPE05,10,27,0.0008684592937949396,0.0008335915008710959,-0.06666666666666667,-0.4298148148148148,0.31851851851851853,0.7712854630135506,1.0
prob_inflammation,SUBTYPE02,SUBTYPE03,15,11,0.0005632454148087042,0.0006294113519041502,-0.07878787878787878,-0.5272727272727272,0.3939393939393939,0.7554968749288828,1.0
prob_inflammation,SUBTYPE02,SUBTYPE04,15,16,0.0005632454148087042,0.002591049982280697,-0.4166666666666667,-0.7833333333333333,-0.025,0.05038753776997539,0.5038753776997539
prob_inflammation,SUBTYPE02,SUBTYPE05,15,27,0.0005632454148087042,0.0008335915008710959,-0.12098765432098765,-0.48148148148148145,0.22975308641975242,0.5286949867577488,1.0
prob_inflammation,SUBTYPE03,SUBTYPE04,11,16,0.0006294113519041502,0.002591049982280697,-0.375,-0.7730113636363636,0.06818181818181818,0.10876756967904058,0.9789081271113652
prob_inflammation,SUBTYPE03,SUBTYPE05,11,27,0.0006294113519041502,0.0008335915008710959,-0.13131313131313133,-0.5151515151515151,0.27946127946127947,0.5408339198874076,1.0
prob_inflammation,SUBTYPE04,SUBTYPE05,16,27,0.002591049982280697,0.0008335915008710959,0.18981481481481483,-0.17592592592592593,0.5140046296296289,0.3088677127447209,1.0
prob_marker,SUBTYPE01,SUBTYPE02,10,15,3.7674975255280947e-06,2.9579485728796222e-06,0.013333333333333334,-0.4666666666666667,0.48,0.9778735006449261,1.0
prob_marker,SUBTYPE01,SUBTYPE03,10,11,3.7674975255280947e-06,3.1726864649006465e-06,-0.07272727272727272,-0.6,0.5272727272727272,0.8053241706182483,1.0
prob_marker,SUBTYPE01,SUBTYPE04,10,16,3.7674975255280947e-06,4.0226849486665034e-07,0.5625,0.15,0.8875,0.019008923318541638,0.1520713865483331
prob_marker,SUBTYPE01,SUBTYPE05,10,27,3.7674975255280947e-06,5.914907724478664e-07,0.5407407407407407,0.22944444444444445,0.8075925925925916,0.013158603185129202,0.12053175894596158
prob_marker,SUBTYPE02,SUBTYPE03,15,11,2.9579485728796222e-06,3.1726864649006465e-06,-0.18787878787878787,-0.6124242424242423,0.28484848484848485,0.4362749288405292,1.0
prob_marker,SUBTYPE02,SUBTYPE04,15,16,2.9579485728796222e-06,4.0226849486665034e-07,0.48333333333333334,0.1,0.7833333333333333,0.023032986290877723,0.16123090403614407
prob_marker,SUBTYPE02,SUBTYPE05,15,27,2.9579485728796222e-06,5.914907724478664e-07,0.38271604938271603,0.03691358024691359,0.6938271604938272,0.04325409641227075,0.21627048206135374
prob_marker,SUBTYPE03,SUBTYPE04,11,16,3.1726864649006465e-06,4.0226849486665034e-07,0.5113636363636364,0.11363636363636363,0.8522727272727273,0.028098115089472124,0.16858869053683273
prob_marker,SUBTYPE03,SUBTYPE05,11,27,3.1726864649006465e-06,5.914907724478664e-07,0.5286195286195287,0.16498316498316498,0.8316498316498316,0.012053175894596157,0.12053175894596158
prob_marker,SUBTYPE04,SUBTYPE05,16,27,4.0226849486665034e-07,5.914907724478664e-07,-0.0787037037037037,-0.4305555555555556,0.27314814814814814,0.6784507837377551,1.0
prob_necrosis,SUBTYPE01,SUBTYPE02,10,15,8.66474784908937e-05,4.423495200187896e-05,-0.05333333333333334,-0.5466666666666666,0.4666666666666667,0.8460622932235979,1.0
prob_necrosis,SUBTYPE01,SUBTYPE03,10,11,8.66474784908937e-05,0.00026284630039324474,-0.2,-0.6909090909090909,0.34545454545454546,0.4596715909585638,1.0
prob_necrosis,SUBTYPE01,SUBTYPE04,10,16,8.66474784908937e-05,0.0008946347625471886,-0.5625,-0.8625,-0.1621875000000017,0.019008923318541638,0.17108030986687475
prob_necrosis,SUBTYPE01,SUBTYPE05,10,27,8.66474784908937e-05,0.0002565759444906344,-0.3851851851851852,-0.7185185185185186,0.0,0.07819392682577314,0.5473574877804119
prob_necrosis,SUBTYPE02,SUBTYPE03,15,11,4.423495200187896e-05,0.00026284630039324474,-0.15151515151515152,-0.6727272727272727,0.39424242424242256,0.5334165134726944,1.0
prob_necrosis,SUBTYPE02,SUBTYPE04,15,16,4.423495200187896e-05,0.0008946347625471886,-0.525,-0.85,-0.125,0.013491322038801766,0.13491322038801765
prob_necrosis,SUBTYPE02,SUBTYPE05,15,27,4.423495200187896e-05,0.0002565759444906344,-0.32839506172839505,-0.6691358024691358,0.027160493827160494,0.08318487806875982,0.5473574877804119
prob_necrosis,SUBTYPE03,SUBTYPE04,11,16,0.00026284630039324474,0.0008946347625471886,-0.4772727272727273,-0.8181818181818182,-0.06789772727272882,0.04057228330796049,0.32457826646368393
prob_necrosis,SUBTYPE03,SUBTYPE05,11,27,0.00026284630039324474,0.0002565759444906344,-0.1447811447811448,-0.5622895622895623,0.2930976430976422,0.4990873946697503,1.0
prob_necrosis,SUBTYPE04,SUBTYPE05,16,27,0.0008946347625471886,0.0002565759444906344,0.24074074074074073,-0.125,0.6111111111111112,0.1956701920142233,0.9783509600711165
prob_renal_parenchyma,SUBTYPE01,SUBTYPE02,10,15,0.00904392625238077,0.0061622641669454485,0.13333333333333333,-0.3203333333333333,0.5866666666666667,0.5982177644910319,1.0
prob_renal_parenchyma,SUBTYPE01,SUBTYPE03,10,11,0.00904392625238077,0.0008906617069242922,0.4909090909090909,-0.01818181818181818,0.9454545454545454,0.06203104181536411,0.4342172927075488
prob_renal_parenchyma,SUBTYPE01,SUBTYPE04,10,16,0.00904392625238077,0.005852524908249663,0.3375,-0.125,0.7625,0.16251203737781206,0.7937933625231667
prob_renal_parenchyma,SUBTYPE01,SUBTYPE05,10,27,0.00904392625238077,0.002642004290875766,0.6,0.25907407407407407,0.8888888888888888,0.005904433685757453,0.05904433685757453
prob_renal_parenchyma,SUBTYPE02,SUBTYPE03,15,11,0.0061622641669454485,0.0008906617069242922,0.3575757575757576,-0.15151515151515152,0.806060606060606,0.1322988937538611,0.7937933625231667
prob_renal_parenchyma,SUBTYPE02,SUBTYPE04,15,16,0.0061622641669454485,0.005852524908249663,0.1,-0.3252083333333333,0.5083333333333333,0.6494132869819362,1.0
prob_renal_parenchyma,SUBTYPE02,SUBTYPE05,15,27,0.0061622641669454485,0.002642004290875766,0.4024691358024691,0.056790123456790124,0.7334567901234561,0.03348262166562668,0.3013435949906401
prob_renal_parenchyma,SUBTYPE03,SUBTYPE04,11,16,0.0008906617069242922,0.005852524908249663,-0.3409090909090909,-0.7954545454545454,0.12528409090908935,0.14547055726460623,0.7937933625231667
prob_renal_parenchyma,SUBTYPE03,SUBTYPE05,11,27,0.0008906617069242922,0.002642004290875766,-0.037037037037037035,-0.47474747474747475,0.373905723905723,0.8721447138299554,1.0
prob_renal_parenchyma,SUBTYPE04,SUBTYPE05,16,27,0.005852524908249663,0.002642004290875766,0.375,0.037037037037037035,0.6851851851851852,0.043110421151403296,0.34488336921122636
