feature,reference_population,group_count,available_n,kruskal_p,epsilon_squared,q_value
log-sigma-3-0-mm-3D_glszm_ZoneVariance,core,5,79,0.10250526294794723,0.05023214202407227,0.14291702767605655
log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized,core,5,79,0.015261544655088001,0.11214743764189987,0.029054405096506444
log-sigma-3-0-mm-3D_gldm_DependenceVariance,core,5,79,0.21759364822930755,0.02381877706244764,0.2626130237250263
log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,core,5,79,0.04323336389016721,0.07890198275087466,0.06950947197889074
log-sigma-3-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,core,5,79,0.049155368291667084,0.07471581189935557,0.07712307783692594
log-sigma-3-0-mm-3D_gldm_SmallDependenceEmphasis,core,5,79,0.07806291777698378,0.05942260874222888,0.11384175509143468
log-sigma-3-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,core,5,79,0.011073346102782971,0.12218649028775563,0.022098124898097597
log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,core,5,79,0.10313748557585177,0.050022847574271855,0.14291702767605655
log-sigma-3-0-mm-3D_ngtdm_Busyness,core,5,79,0.1860913254033175,0.02946170242451888,0.230320057455406
log-sigma-3-0-mm-3D_ngtdm_Complexity,core,5,79,0.005850627375623513,0.14193555033744926,0.013113475152259597
log-sigma-3-0-mm-3D_ngtdm_Contrast,core,5,79,0.08688745334218227,0.05582750615978452,0.12550409927204106
wavelet-LLH_firstorder_Energy,core,5,79,1.0851758265083527e-06,0.3946423750418999,2.0289804076222073e-05
wavelet-LLH_firstorder_Kurtosis,core,5,79,0.08899782136256228,0.055018781727641825,0.12774135242891432
wavelet-LLH_firstorder_Mean,core,5,79,0.12656066136560118,0.04300454078935061,0.17087567038975826
wavelet-LLH_firstorder_Median,core,5,79,0.1015447342631393,0.050552436786614176,0.14260140151150735
wavelet-LLH_firstorder_Skewness,core,5,79,0.021569933980040517,0.10122435114919266,0.03889858220736374
wavelet-LLH_firstorder_Uniformity,core,5,79,4.301318209308311e-06,0.3550743320996486,4.447954057352912e-05
wavelet-LLH_glcm_ClusterShade,core,5,79,5.537218465427003e-05,0.2809843441686793,0.00029295748857782397
wavelet-LLH_glcm_ClusterTendency,core,5,79,0.01241057741742479,0.11862782805820794,0.024339710021242585
wavelet-LLH_glcm_Correlation,core,5,79,0.0039301228569406646,0.15412757406428254,0.009362334554492159
wavelet-LLH_glcm_Idn,core,5,79,0.00012082441529174577,0.2581343282292646,0.0005553041308863063
wavelet-LLH_glcm_Imc1,core,5,79,0.0010964860194743594,0.19273706963580375,0.0033483297910123057
wavelet-LLH_glcm_InverseVariance,core,5,79,0.0001996599608852041,0.24335532454203354,0.0008570309641770553
wavelet-LLH_glcm_JointAverage,core,5,79,4.961941567863438e-06,0.350956446953282,4.8035817305912005e-05
wavelet-LLH_glcm_JointEnergy,core,5,79,8.075413441857933e-05,0.26994967205410214,0.0004037706720928966
wavelet-LLH_glcm_MCC,core,5,79,0.04726162379023707,0.07599939266078472,0.07461542536089838
wavelet-LLH_glrlm_LongRunHighGrayLevelEmphasis,core,5,79,1.868256678538196e-05,0.31261228972067556,0.00012879648314164836
wavelet-LLH_glrlm_LongRunLowGrayLevelEmphasis,core,5,79,5.656473739290164e-05,0.28036194134295395,0.00029582707487092237
wavelet-LLH_glrlm_RunEntropy,core,5,79,0.10334000462730243,0.049956057539127324,0.14291702767605655
wavelet-LLH_glrlm_RunLengthNonUniformity,core,5,79,0.027633968279383362,0.09333246940841922,0.04762672563302814
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,core,5,79,0.0073863729021185365,0.13475083973501736,0.016314561507106477
wavelet-LLH_glrlm_RunVariance,core,5,79,0.010146722160792526,0.12490782461114736,0.020518927036269327
wavelet-LLH_glrlm_ShortRunHighGrayLevelEmphasis,core,5,79,4.760953547550737e-05,0.2853937856153043,0.00026610756163930865
wavelet-LLH_glrlm_ShortRunLowGrayLevelEmphasis,core,5,79,6.39638081933349e-06,0.34363115416912837,5.7676953579646935e-05
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,core,5,79,0.00013922887561867054,0.2539684426597446,0.000633491384064951
wavelet-LLH_glszm_LargeAreaHighGrayLevelEmphasis,core,5,79,0.2518406978711251,0.018447816343385402,0.29918411888084057
wavelet-LLH_glszm_LargeAreaLowGrayLevelEmphasis,core,5,79,0.009072926093219923,0.12838313536493953,0.01902387729223532
wavelet-LLH_glszm_LowGrayLevelZoneEmphasis,core,5,79,0.00016920919630336522,0.24823089017942887,0.0007548057286081487
wavelet-LLH_glszm_SizeZoneNonUniformity,core,5,79,4.6076719514133255e-05,0.28634857448012363,0.00026206134223663287
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,core,5,79,0.0005624974159286859,0.21267682815151123,0.0019840025135469154
wavelet-LLH_glszm_SmallAreaEmphasis,core,5,79,4.882534915193638e-05,0.2846579343296114,0.00026610756163930865
wavelet-LLH_glszm_SmallAreaLowGrayLevelEmphasis,core,5,79,0.005717727525891743,0.14264204653445162,0.012879039724162095
wavelet-LLH_glszm_ZoneEntropy,core,5,79,0.06881689120749812,0.06362660668435989,0.10334558513777338
wavelet-LLH_gldm_DependenceEntropy,core,5,79,0.08978070099793707,0.054723342084892504,0.12845980803163953
