feature,group_a,group_b,n_a,n_b,median_a,median_b,cliffs_delta,ci_low,ci_high,p_value,p_adjusted_holm
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,SUBTYPE01,SUBTYPE05,10,27,-0.16324993107737965,0.4871904200308246,-0.4962962962962963,-0.8593518518518518,-0.08148148148148149,0.022740595102169973,0.1591841657151898
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,SUBTYPE02,SUBTYPE03,15,11,-0.06382962838446549,0.650978066047209,-0.2727272727272727,-0.7215151515151514,0.22454545454545288,0.25353780619794264,1.0
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,SUBTYPE02,SUBTYPE04,15,16,-0.06382962838446549,-1.6142363154145096,0.225,-0.20854166666666665,0.65,0.29486696936813717,1.0
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,SUBTYPE02,SUBTYPE05,15,27,-0.06382962838446549,0.4871904200308246,-0.5950617283950618,-0.8964197530864197,-0.2345679012345679,0.0016213357054060268,0.014592021348654241
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,SUBTYPE03,SUBTYPE04,11,16,0.650978066047209,-1.6142363154145096,0.5454545454545454,0.1590909090909091,0.8409090909090909,0.019080580096218658,0.15264464076974926
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,SUBTYPE03,SUBTYPE05,11,27,0.650978066047209,0.4871904200308246,0.0,-0.4547138047138047,0.48829966329966284,1.0,1.0
wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,SUBTYPE04,SUBTYPE05,16,27,-1.6142363154145096,0.4871904200308246,-0.5972222222222222,-0.8657407407407407,-0.24305555555555555,0.0012283043879776148,0.012283043879776148
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,SUBTYPE01,SUBTYPE02,10,15,-0.5612607513953417,0.9328456063538941,-0.48,-0.88,-0.05333333333333334,0.04893177078572625,0.34252239550008373
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,SUBTYPE01,SUBTYPE03,10,11,-0.5612607513953417,-0.2761177753152538,-0.15454545454545454,-0.6363636363636364,0.34545454545454546,0.573076743735009,1.0
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,SUBTYPE01,SUBTYPE04,10,16,-0.5612607513953417,0.1426278151095329,-0.5875,-0.9375,-0.1375,0.014255291355700065,0.11404233084560052
