feature,group_a,group_b,n_a,n_b,missing_n_a,missing_n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::PTEN,CORE01,CORE03,17,14,0,0,0.058823529411764705,0.0,0.058823529411764705,2.63636364,0.09944974,69.88870187,1.0,1.0
mutation::PTEN,CORE01,CORE04,17,10,0,0,0.058823529411764705,0.0,0.058823529411764705,1.90909091,0.07091754,51.39247756,1.0,1.0
mutation::PTEN,CORE01,CORE05,17,9,0,0,0.058823529411764705,0.4444444444444444,-0.3856209150326797,0.11111111,0.01381579,0.8935922,0.03447856,0.42260062
mutation::PTEN,CORE01,CORE06,17,5,0,0,0.058823529411764705,0.0,0.058823529411764705,1.0,0.03533126,28.30354983,1.0,1.0
mutation::PTEN,CORE02,CORE03,14,14,0,0,0.0,0.0,0.0,1.0,0.01855505,53.89368994,1.0,1.0
mutation::PTEN,CORE02,CORE04,14,10,0,0,0.0,0.0,0.0,0.72413793,0.01326768,39.52277813,1.0,1.0
mutation::PTEN,CORE02,CORE05,14,9,0,0,0.0,0.4444444444444444,-0.4444444444444444,0.04214559,0.00193262,0.91909155,0.01422925,0.21343875
mutation::PTEN,CORE02,CORE06,14,5,0,0,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
mutation::PTEN,CORE03,CORE04,14,10,0,0,0.0,0.0,0.0,0.72413793,0.01326768,39.52277813,1.0,1.0
mutation::PTEN,CORE03,CORE05,14,9,0,0,0.0,0.4444444444444444,-0.4444444444444444,0.04214559,0.00193262,0.91909155,0.01422925,0.21343875
mutation::PTEN,CORE03,CORE06,14,5,0,0,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
mutation::PTEN,CORE04,CORE05,10,9,0,0,0.0,0.4444444444444444,-0.4444444444444444,0.05820106,0.00262562,1.2901173,0.03250774,0.42260062
mutation::PTEN,CORE04,CORE06,10,5,0,0,0.0,0.0,0.0,0.52380952,0.00909426,30.17029046,1.0,1.0
mutation::PTEN,CORE05,CORE06,9,5,0,0,0.4444444444444444,0.0,0.4444444444444444,9.0,0.38497611,210.40266897,0.22077922,1.0
mutation::VHL,CORE01,CORE02,17,14,0,0,0.6470588235294118,0.0,0.6470588235294118,51.30769231,2.60921149,1008.91755887,0.00015046,0.0022569
mutation::VHL,CORE01,CORE03,17,14,0,0,0.6470588235294118,0.35714285714285715,0.28991596638655465,3.05594406,0.73567876,12.69411952,0.15561348,1.0
mutation::VHL,CORE01,CORE04,17,10,0,0,0.6470588235294118,0.7,-0.05294117647058816,0.82564103,0.16801095,4.05737306,1.0,1.0
mutation::VHL,CORE01,CORE05,17,9,0,0,0.6470588235294118,0.6666666666666666,-0.019607843137254832,0.95266272,0.189156,4.79797778,1.0,1.0
mutation::VHL,CORE01,CORE06,17,5,0,0,0.6470588235294118,0.8,-0.15294117647058825,0.58974359,0.07343962,4.73582895,1.0,1.0
mutation::VHL,CORE02,CORE03,14,14,0,0,0.0,0.35714285714285715,-0.35714285714285715,0.05956113,0.00294032,1.20651271,0.04074074,0.44814814
mutation::VHL,CORE02,CORE04,14,10,0,0,0.0,0.7,-0.7,0.01609195,0.00073105,0.35421818,0.00034672,0.00485408
mutation::VHL,CORE02,CORE05,14,9,0,0,0.0,0.6666666666666666,-0.6666666666666666,0.01856764,0.00083286,0.41394466,0.00083212,0.01081756
mutation::VHL,CORE02,CORE06,14,5,0,0,0.0,0.8,-0.8,0.01149425,0.00039493,0.33453325,0.00128999,0.01547988
mutation::VHL,CORE03,CORE04,14,10,0,0,0.35714285714285715,0.7,-0.3428571428571428,0.27017544,0.05204218,1.40260784,0.2137569,1.0
mutation::VHL,CORE03,CORE05,14,9,0,0,0.35714285714285715,0.6666666666666666,-0.3095238095238095,0.31174089,0.05863923,1.6572929,0.2137569,1.0
mutation::VHL,CORE03,CORE06,14,5,0,0,0.35714285714285715,0.8,-0.4428571428571429,0.19298246,0.02303772,1.61657605,0.14086687,1.0
mutation::VHL,CORE04,CORE05,10,9,0,0,0.7,0.6666666666666666,0.033333333333333326,1.15384615,0.1876725,7.09406503,1.0,1.0
mutation::VHL,CORE04,CORE06,10,5,0,0,0.7,0.8,-0.10000000000000009,0.71428571,0.07592363,6.71996388,1.0,1.0
mutation::VHL,CORE05,CORE06,9,5,0,0,0.6666666666666666,0.8,-0.13333333333333341,0.61904762,0.0646584,5.92683944,1.0,1.0
