feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
wavelet-HLL_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,8.49787057,0.13084792,0.30764244,0.05552176
wavelet-HLL_glcm_Imc2,6,69,17;14;14;10;9;5,estimable,,8.05403877,0.15328248,0.33537419,0.04847681
wavelet-HLL_glcm_MCC,6,69,17;14;14;10;9;5,estimable,,4.84768215,0.43475085,0.61063289,0.0
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,10.66017851,0.05854983,0.20969009,0.0898441
wavelet-HLL_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,13.74498251,0.0173131,0.1315864,0.13880925
wavelet-HLL_glrlm_RunVariance,6,69,17;14;14;10;9;5,estimable,,10.04964258,0.0738408,0.23939965,0.08015306
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,6.90069628,0.22813104,0.3947436,0.03016978
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,11.9269723,0.03580225,0.1751796,0.10995194
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,6.53254113,0.25779004,0.43151811,0.02432605
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,5.91817852,0.31426211,0.49133365,0.01457426
wavelet-HLL_gldm_SmallDependenceEmphasis,6,69,17;14;14;10;9;5,estimable,,4.70988442,0.45230164,0.62470361,0.0
wavelet-HLL_ngtdm_Contrast,6,69,17;14;14;10;9;5,estimable,,3.76350239,0.58394287,0.74939335,0.0
wavelet-HLH_firstorder_Energy,6,69,17;14;14;10;9;5,estimable,,4.18367533,0.52328579,0.694707,0.0
wavelet-HLH_firstorder_Entropy,6,69,17;14;14;10;9;5,estimable,,1.93500333,0.85806351,0.91132262,0.0
wavelet-HLH_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,4.81400282,0.43899883,0.61063289,0.0
wavelet-HLH_firstorder_Maximum,6,69,17;14;14;10;9;5,estimable,,3.19299036,0.67026032,0.80326918,0.0
wavelet-HLH_firstorder_Mean,6,69,17;14;14;10;9;5,estimable,,2.35109742,0.79873371,0.87237583,0.0
wavelet-HLH_firstorder_Median,6,69,17;14;14;10;9;5,estimable,,4.80505872,0.4401315,0.61063289,0.0
wavelet-HLH_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,3.20670784,0.66815209,0.80326918,0.0
wavelet-HLH_glcm_Autocorrelation,6,69,17;14;14;10;9;5,estimable,,2.49279399,0.77757992,0.86438574,0.0
wavelet-HLH_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,3.65285569,0.60039512,0.75558756,0.0
wavelet-HLH_glcm_Id,6,69,17;14;14;10;9;5,estimable,,3.05084306,0.69214739,0.81057565,0.0
wavelet-HLH_glcm_Idmn,6,69,17;14;14;10;9;5,estimable,,3.53339434,0.61834077,0.76485525,0.0
wavelet-HLH_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,11.92484692,0.03583219,0.1751796,0.10991821
wavelet-HLH_glcm_Imc2,6,69,17;14;14;10;9;5,estimable,,9.43581235,0.09289364,0.26024438,0.07040972
wavelet-HLH_glcm_MCC,6,69,17;14;14;10;9;5,estimable,,7.81880103,0.16650865,0.33777046,0.04474287
wavelet-HLH_glcm_MaximumProbability,6,69,17;14;14;10;9;5,estimable,,1.57625346,0.90410598,0.93131987,0.0
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,3.33394645,0.64864864,0.78346581,0.0
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,6.14784952,0.29209725,0.47086306,0.01821983
wavelet-HLH_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,9.66157849,0.08541222,0.24886476,0.07399331
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,15.07207844,0.01005876,0.11669178,0.15987426
wavelet-HLH_glrlm_RunVariance,6,69,17;14;14;10;9;5,estimable,,15.43050588,0.00867285,0.11669178,0.16556359
wavelet-HLH_glszm_GrayLevelVariance,6,69,17;14;14;10;9;5,estimable,,3.13932019,0.67851672,0.80412503,0.0
wavelet-HLH_glszm_LargeAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,6.22076494,0.28532641,0.46333105,0.01937722
wavelet-HLH_glszm_SizeZoneNonUniformity,6,69,17;14;14;10;9;5,estimable,,2.95790154,0.70647627,0.81946939,0.0
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,11.59813676,0.04072904,0.17556397,0.10473233
wavelet-HLH_glszm_SmallAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,10.41918657,0.06419257,0.22027684,0.08601883
wavelet-HLH_glszm_ZoneEntropy,6,69,17;14;14;10;9;5,estimable,,11.5757104,0.04108749,0.17556397,0.10437636
wavelet-HLH_glszm_ZonePercentage,6,69,17;14;14;10;9;5,estimable,,3.86803463,0.56856804,0.7327153,0.0
wavelet-HLH_gldm_DependenceEntropy,6,69,17;14;14;10;9;5,estimable,,9.11607402,0.10452296,0.27752648,0.06533451
wavelet-HLH_gldm_DependenceVariance,6,69,17;14;14;10;9;5,estimable,,9.03905052,0.10751667,0.28063673,0.06411191
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,8.95654517,0.11081003,0.28680243,0.0628023
wavelet-HLH_ngtdm_Busyness,6,69,17;14;14;10;9;5,estimable,,7.13245368,0.21097448,0.37779151,0.03384847
wavelet-HLH_ngtdm_Strength,6,69,17;14;14;10;9;5,estimable,,4.3238253,0.50379507,0.67464731,0.0
wavelet-HHL_firstorder_90Percentile,6,69,17;14;14;10;9;5,estimable,,4.9323929,0.42418671,0.60207146,0.0
wavelet-HHL_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,12.9917864,0.02345586,0.13893086,0.12685375
wavelet-HHL_firstorder_Maximum,6,69,17;14;14;10;9;5,estimable,,5.834163,0.32269153,0.49944217,0.01324068
wavelet-HHL_firstorder_Mean,6,69,17;14;14;10;9;5,estimable,,2.47541939,0.78019232,0.86438574,0.0
wavelet-HHL_firstorder_Median,6,69,17;14;14;10;9;5,estimable,,3.66299888,0.59887979,0.75558756,0.0
wavelet-HHL_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,2.53290046,0.77153225,0.86098526,0.0
wavelet-HHL_firstorder_Uniformity,6,69,17;14;14;10;9;5,estimable,,4.04881048,0.54241007,0.70789111,0.0
wavelet-HHL_glcm_Autocorrelation,6,69,17;14;14;10;9;5,estimable,,4.63815625,0.46161401,0.62749272,0.0
wavelet-HHL_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,7.16062263,0.20896606,0.37638331,0.0342956
wavelet-HHL_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,2.92087246,0.7121836,0.81946939,0.0
wavelet-HHL_glcm_Imc2,6,69,17;14;14;10;9;5,estimable,,9.89127663,0.07837514,0.24632187,0.07763931
wavelet-HHL_glcm_InverseVariance,6,69,17;14;14;10;9;5,estimable,,2.71903753,0.74320523,0.84157063,0.0
wavelet-HHL_glrlm_LongRunEmphasis,6,69,17;14;14;10;9;5,estimable,,14.35092971,0.01352741,0.11904121,0.14842746
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,16.71162285,0.00508046,0.11669178,0.18589878
wavelet-HHL_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,8.50948217,0.13030274,0.30764244,0.05570607
wavelet-HHL_glszm_GrayLevelNonUniformity,6,69,17;14;14;10;9;5,estimable,,7.02431837,0.21883799,0.38515486,0.03213204
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,5.58043948,0.349206,0.52723259,0.00921333
wavelet-HHL_glszm_SmallAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,7.78227047,0.1686504,0.33777046,0.04416302
wavelet-HHL_glszm_ZonePercentage,6,69,17;14;14;10;9;5,estimable,,8.12514641,0.1494721,0.3336044,0.0496055
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,8.26782191,0.14208005,0.32594292,0.05187019
wavelet-HHH_firstorder_Entropy,6,69,17;14;14;10;9;5,estimable,,0.56009372,0.98975739,0.98975739,0.0
wavelet-HHH_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,10.16659325,0.07065019,0.23652455,0.08200942
wavelet-HHH_firstorder_Maximum,6,69,17;14;14;10;9;5,estimable,,2.67079261,0.75058183,0.84371972,0.0
wavelet-HHH_firstorder_Mean,6,69,17;14;14;10;9;5,estimable,,1.73969808,0.88386101,0.92517695,0.0
wavelet-HHH_firstorder_Median,6,69,17;14;14;10;9;5,estimable,,5.1351982,0.39960439,0.57513155,0.002146
wavelet-HHH_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,1.0988574,0.95420476,0.96676009,0.0
wavelet-HHH_glcm_Autocorrelation,6,69,17;14;14;10;9;5,estimable,,1.98401842,0.85135195,0.91047361,0.0
wavelet-HHH_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,7.41333241,0.1916698,0.35594717,0.03830686
wavelet-HHH_glcm_Idmn,6,69,17;14;14;10;9;5,estimable,,2.78034808,0.73380478,0.83892235,0.0
wavelet-HHH_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,4.19978751,0.52102474,0.69469965,0.0
wavelet-HHH_glcm_Imc2,6,69,17;14;14;10;9;5,estimable,,4.80730704,0.43984659,0.61063289,0.0
wavelet-HHH_glcm_MaximumProbability,6,69,17;14;14;10;9;5,estimable,,0.87194321,0.97221949,0.9817823,0.0
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,5.47798575,0.36036586,0.53870851,0.00758708
wavelet-HHH_glrlm_RunEntropy,6,69,17;14;14;10;9;5,estimable,,8.13638916,0.14887741,0.3336044,0.04978395
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,8.25236924,0.14286459,0.32594292,0.05162491
wavelet-HHH_glrlm_RunVariance,6,69,17;14;14;10;9;5,estimable,,10.52988361,0.06154019,0.21539066,0.08777593
wavelet-HHH_glszm_GrayLevelVariance,6,69,17;14;14;10;9;5,estimable,,1.41995055,0.92211852,0.94356314,0.0
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,7.84021881,0.16526411,0.33777046,0.04508284
wavelet-HHH_glszm_SmallAreaEmphasis,6,69,17;14;14;10;9;5,estimable,,2.10272886,0.83475574,0.89583543,0.0
wavelet-HHH_glszm_ZoneEntropy,6,69,17;14;14;10;9;5,estimable,,7.9242815,0.16045829,0.33777046,0.04641717
wavelet-HHH_glszm_ZonePercentage,6,69,17;14;14;10;9;5,estimable,,1.90743985,0.86179856,0.91214418,0.0
wavelet-HHH_gldm_DependenceEntropy,6,69,17;14;14;10;9;5,estimable,,6.96836346,0.22300381,0.38805183,0.03124386
wavelet-HHH_gldm_DependenceVariance,6,69,17;14;14;10;9;5,estimable,,6.59721605,0.25235976,0.42473665,0.02535264
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,7.34719325,0.19607288,0.35946695,0.03725704
wavelet-LLL_firstorder_Entropy,6,69,17;14;14;10;9;5,estimable,,17.03099721,0.00444138,0.11669178,0.19096821
wavelet-LLL_firstorder_Kurtosis,6,69,17;14;14;10;9;5,estimable,,5.29202823,0.38128968,0.55657451,0.00463537
wavelet-LLL_firstorder_MeanAbsoluteDeviation,6,69,17;14;14;10;9;5,estimable,,13.59196107,0.01842001,0.13193868,0.13638033
wavelet-LLL_firstorder_Minimum,6,69,17;14;14;10;9;5,estimable,,12.4521071,0.02909145,0.15719591,0.11828741
wavelet-LLL_firstorder_Skewness,6,69,17;14;14;10;9;5,estimable,,1.85668749,0.86859836,0.91619279,0.0
wavelet-LLL_glcm_Correlation,6,69,17;14;14;10;9;5,estimable,,15.93841618,0.00702212,0.11669178,0.17362565
wavelet-LLL_glcm_Idmn,6,69,17;14;14;10;9;5,estimable,,5.66381126,0.34031746,0.51634373,0.01053669
wavelet-LLL_glcm_Idn,6,69,17;14;14;10;9;5,estimable,,4.61605349,0.4645076,0.62749272,0.0
wavelet-LLL_glcm_Imc1,6,69,17;14;14;10;9;5,estimable,,10.53225858,0.06148442,0.21539066,0.08781363
wavelet-LLL_glcm_MaximumProbability,6,69,17;14;14;10;9;5,estimable,,13.8623795,0.01650764,0.13036803,0.14067269
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,17.7781726,0.00323766,0.11669178,0.20282814
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,6,69,17;14;14;10;9;5,estimable,,16.02197586,0.00678161,0.11669178,0.174952
wavelet-LLL_glszm_ZoneEntropy,6,69,17;14;14;10;9;5,estimable,,8.88626333,0.11368764,0.2870147,0.06168672
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,6,69,17;14;14;10;9;5,estimable,,3.0714839,0.68896597,0.80992946,0.0
wavelet-LLL_ngtdm_Contrast,6,69,17;14;14;10;9;5,estimable,,12.70304342,0.02632632,0.14479476,0.12227053
wavelet-LLL_ngtdm_Strength,6,69,17;14;14;10;9;5,estimable,,12.8261141,0.02506391,0.1403579,0.12422403
