Name,Term,ES,NES
TCGA-CZ-5462,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,25570.294856935627,1.0616064939404681
TCGA-CZ-5462,HALLMARK_PROTEIN_SECRETION,25558.322465080837,1.0611094340116658
TCGA-B0-5085,HALLMARK_MYC_TARGETS_V1,25557.815322146198,1.0610883788679617
TCGA-BP-5192,HALLMARK_TGF_BETA_SIGNALING,25547.27422805002,1.060650742383582
TCGA-BP-4995,HALLMARK_TGF_BETA_SIGNALING,25535.23845969246,1.0601510512412062
TCGA-BP-5196,HALLMARK_INTERFERON_ALPHA_RESPONSE,25525.50112856731,1.0597467847275057
TCGA-B0-5703,HALLMARK_TGF_BETA_SIGNALING,25518.07425092827,1.0594384417234293
TCGA-B8-5553,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,25511.536292051864,1.059167004118226
TCGA-BP-5191,HALLMARK_INTERFERON_ALPHA_RESPONSE,25511.154176994743,1.0591511397792208
TCGA-BP-4167,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,25504.681223364692,1.058882401008429
TCGA-BP-4971,HALLMARK_INTERFERON_ALPHA_RESPONSE,25504.114651749296,1.0588588785535824
TCGA-B8-5158,HALLMARK_MTORC1_SIGNALING,25499.659262096615,1.0586739033464216
TCGA-B8-5158,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,25497.48265513956,1.0585835367670258
TCGA-CJ-4641,HALLMARK_PROTEIN_SECRETION,25494.257777750656,1.0584496489570738
