feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
chr4q::gain,CORE03,CORE04,11,11,0.18181818181818182,0.0,0.18181818181818182,6.05263158,0.25790095,142.04813753,0.47619048,1.0
chr4q::gain,CORE03,CORE05,11,5,0.18181818181818182,0.0,0.18181818181818182,2.89473684,0.11648411,71.93686076,1.0,1.0
chr4q::gain,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr5p::loss,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
chr5p::loss,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr5p::loss,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr5p::loss,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
chr5p::loss,CORE02,CORE03,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr5p::loss,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr5p::loss,CORE02,CORE05,14,5,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
chr5p::loss,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
chr5p::loss,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr5p::loss,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
chr5p::gain,CORE01,CORE02,18,14,0.2777777777777778,0.42857142857142855,-0.15079365079365076,0.53276353,0.12834218,2.21156425,0.46505538,1.0
chr5p::gain,CORE01,CORE03,18,11,0.2777777777777778,0.09090909090909091,0.18686868686868688,2.85185185,0.39479225,20.60085782,0.36225843,1.0
chr5p::gain,CORE01,CORE04,18,11,0.2777777777777778,0.0,0.2777777777777778,9.37037037,0.46650089,188.21794997,0.12605785,1.0
chr5p::gain,CORE01,CORE05,18,5,0.2777777777777778,0.6,-0.3222222222222222,0.29100529,0.04344205,1.94935756,0.29685875,1.0
chr5p::gain,CORE02,CORE03,14,11,0.42857142857142855,0.09090909090909091,0.33766233766233766,5.35294118,0.72992387,39.25612052,0.09,1.0
chr5p::gain,CORE02,CORE04,14,11,0.42857142857142855,0.0,0.42857142857142855,17.58823529,0.86693629,356.82670574,0.01956522,1.0
chr5p::gain,CORE02,CORE05,14,5,0.42857142857142855,0.6,-0.17142857142857143,0.54621849,0.08027147,3.71682057,0.62848297,1.0
chr5p::gain,CORE03,CORE04,11,11,0.09090909090909091,0.0,0.09090909090909091,3.28571429,0.12019791,89.81785668,1.0,1.0
chr5p::gain,CORE03,CORE05,11,5,0.09090909090909091,0.6,-0.509090909090909,0.10204082,0.00965194,1.07878092,0.06318681,1.0
chr5p::gain,CORE04,CORE05,11,5,0.0,0.6,-0.6,0.0310559,0.00118783,0.81196011,0.01785714,1.0
