feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,3.39761831,0.49361544,0.58136439,0.0
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,12.73728129,0.01263345,0.18208081,0.16180151
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,5.92456722,0.20485291,0.35703649,0.03564013
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,4.59104165,0.33188837,0.47238917,0.01094522
wavelet-HLL_gldm_SmallDependenceEmphasis,5,59,18;14;11;11;5,estimable,,5.59507863,0.23149755,0.37725527,0.02953849
wavelet-HLL_ngtdm_Contrast,5,59,18;14;11;11;5,estimable,,6.62765182,0.15692289,0.32626264,0.04866022
wavelet-HLH_firstorder_Energy,5,59,18;14;11;11;5,estimable,,7.00454961,0.13564799,0.31178792,0.05563981
wavelet-HLH_firstorder_Entropy,5,59,18;14;11;11;5,estimable,,0.94792917,0.91758614,0.93272783,0.0
wavelet-HLH_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,6.50614572,0.16440356,0.32626264,0.04641011
wavelet-HLH_firstorder_Maximum,5,59,18;14;11;11;5,estimable,,4.2416323,0.37429104,0.49252306,0.00447467
wavelet-HLH_firstorder_Mean,5,59,18;14;11;11;5,estimable,,5.2444058,0.26312646,0.40993922,0.02304455
wavelet-HLH_firstorder_Median,5,59,18;14;11;11;5,estimable,,4.46437058,0.34679314,0.48321789,0.00859946
wavelet-HLH_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,1.83146721,0.76672048,0.82562465,0.0
wavelet-HLH_glcm_Autocorrelation,5,59,18;14;11;11;5,estimable,,1.81721085,0.76933206,0.82562465,0.0
wavelet-HLH_glcm_Correlation,5,59,18;14;11;11;5,estimable,,6.53682148,0.16248507,0.32626264,0.04697818
wavelet-HLH_glcm_Id,5,59,18;14;11;11;5,estimable,,1.57129846,0.81394119,0.85561053,0.0
wavelet-HLH_glcm_Idmn,5,59,18;14;11;11;5,estimable,,8.7303764,0.06820368,0.2432139,0.08759956
wavelet-HLH_glcm_Imc1,5,59,18;14;11;11;5,estimable,,9.64942598,0.04676579,0.20839607,0.104619
wavelet-HLH_glcm_Imc2,5,59,18;14;11;11;5,estimable,,6.7325952,0.15071236,0.32626264,0.05060361
wavelet-HLH_glcm_MCC,5,59,18;14;11;11;5,estimable,,7.38907526,0.11670125,0.29462283,0.06276065
wavelet-HLH_glcm_MaximumProbability,5,59,18;14;11;11;5,estimable,,2.26224423,0.68765126,0.75372451,0.0
wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,4.40864382,0.35351781,0.48321789,0.00756748
wavelet-HLH_glrlm_LongRunLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,4.23539267,0.37508524,0.49252306,0.00435912
wavelet-HLH_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,6.30621958,0.177417,0.33940643,0.04270777
wavelet-HLH_glrlm_RunLengthNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,4.10694304,0.39172611,0.50299078,0.00198043
wavelet-HLH_glrlm_RunVariance,5,59,18;14;11;11;5,estimable,,4.31320909,0.36527397,0.49101728,0.00580017
wavelet-HLH_glszm_GrayLevelVariance,5,59,18;14;11;11;5,estimable,,4.22987453,0.3757887,0.49252306,0.00425694
wavelet-HLH_glszm_LargeAreaEmphasis,5,59,18;14;11;11;5,estimable,,10.97504781,0.02684588,0.19229142,0.12916755
wavelet-HLH_glszm_SizeZoneNonUniformity,5,59,18;14;11;11;5,estimable,,4.05097073,0.39915166,0.50592062,0.0009439
wavelet-HLH_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,11.8501377,0.01850118,0.18208081,0.14537292
wavelet-HLH_glszm_SmallAreaEmphasis,5,59,18;14;11;11;5,estimable,,9.94264925,0.04140491,0.20447968,0.11004906
wavelet-HLH_glszm_ZoneEntropy,5,59,18;14;11;11;5,estimable,,15.67206251,0.0034923,0.18208081,0.21614931
wavelet-HLH_glszm_ZonePercentage,5,59,18;14;11;11;5,estimable,,1.69070854,0.79240473,0.84158847,0.0
wavelet-HLH_gldm_DependenceEntropy,5,59,18;14;11;11;5,estimable,,7.2194409,0.12473632,0.30873634,0.05961928
wavelet-HLH_gldm_DependenceVariance,5,59,18;14;11;11;5,estimable,,8.32241299,0.0804567,0.26362408,0.08004469
wavelet-HLH_gldm_SmallDependenceLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,8.71254873,0.06870003,0.2432139,0.08726942
wavelet-HLH_ngtdm_Busyness,5,59,18;14;11;11;5,estimable,,7.32273828,0.11978463,0.2999485,0.06153219
wavelet-HLH_ngtdm_Strength,5,59,18;14;11;11;5,estimable,,3.5318556,0.47305119,0.56913971,0.0
wavelet-HHL_firstorder_90Percentile,5,59,18;14;11;11;5,estimable,,6.0905613,0.19248641,0.35080363,0.0387141
wavelet-HHL_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,7.4273686,0.11495501,0.29410961,0.06346979
wavelet-HHL_firstorder_Maximum,5,59,18;14;11;11;5,estimable,,13.23216132,0.0101954,0.18208081,0.17096595
wavelet-HHL_firstorder_Mean,5,59,18;14;11;11;5,estimable,,1.41138797,0.84221334,0.87932783,0.0
wavelet-HHL_firstorder_Median,5,59,18;14;11;11;5,estimable,,0.65664099,0.95656634,0.96500401,0.0
wavelet-HHL_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,1.33605547,0.85522918,0.88392815,0.0
wavelet-HHL_firstorder_Uniformity,5,59,18;14;11;11;5,estimable,,5.53417174,0.23674205,0.38377132,0.02841059
wavelet-HHL_glcm_Autocorrelation,5,59,18;14;11;11;5,estimable,,7.53391494,0.11022305,0.28770084,0.06544287
wavelet-HHL_glcm_Correlation,5,59,18;14;11;11;5,estimable,,9.94568689,0.04135259,0.20447968,0.11010531
wavelet-HHL_glcm_Imc1,5,59,18;14;11;11;5,estimable,,3.13383276,0.53568389,0.6175449,0.0
wavelet-HHL_glcm_Imc2,5,59,18;14;11;11;5,estimable,,13.81394575,0.00791316,0.18208081,0.18173974
wavelet-HHL_glcm_InverseVariance,5,59,18;14;11;11;5,estimable,,6.47290337,0.16650572,0.32664816,0.04579451
wavelet-HHL_glrlm_LongRunEmphasis,5,59,18;14;11;11;5,estimable,,11.49244454,0.02155301,0.18208081,0.13874897
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,13.16352679,0.01050381,0.18208081,0.16969494
wavelet-HHL_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,7.94527894,0.09360339,0.27756344,0.07306072
wavelet-HHL_glszm_GrayLevelNonUniformity,5,59,18;14;11;11;5,estimable,,7.55597818,0.10926607,0.28764059,0.06585145
wavelet-HHL_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,5.44178296,0.2448944,0.39285143,0.02669968
wavelet-HHL_glszm_SmallAreaEmphasis,5,59,18;14;11;11;5,estimable,,4.43674713,0.35011366,0.48321789,0.00808791
wavelet-HHL_glszm_ZonePercentage,5,59,18;14;11;11;5,estimable,,7.15773278,0.12778387,0.30873634,0.05847653
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,9.5030983,0.04968362,0.20839607,0.10190923
wavelet-HHH_firstorder_Entropy,5,59,18;14;11;11;5,estimable,,0.63809573,0.95873775,0.96500401,0.0
wavelet-HHH_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,6.51653142,0.16375175,0.32626264,0.04660243
wavelet-HHH_firstorder_Maximum,5,59,18;14;11;11;5,estimable,,7.16863355,0.12724057,0.30873634,0.0586784
wavelet-HHH_firstorder_Mean,5,59,18;14;11;11;5,estimable,,4.50111576,0.3424152,0.48157024,0.00927992
wavelet-HHH_firstorder_Median,5,59,18;14;11;11;5,estimable,,3.37956857,0.49642479,0.58136439,0.0
wavelet-HHH_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,4.93720938,0.2938011,0.43505163,0.01735573
wavelet-HHH_glcm_Autocorrelation,5,59,18;14;11;11;5,estimable,,5.40761807,0.24797006,0.39572424,0.026067
wavelet-HHH_glcm_Correlation,5,59,18;14;11;11;5,estimable,,9.84321422,0.04315318,0.20447968,0.10820767
wavelet-HHH_glcm_Idmn,5,59,18;14;11;11;5,estimable,,3.8350033,0.428796,0.53199607,0.0
wavelet-HHH_glcm_Imc1,5,59,18;14;11;11;5,estimable,,7.47499645,0.11281691,0.29199671,0.06435179
wavelet-HHH_glcm_Imc2,5,59,18;14;11;11;5,estimable,,5.26732898,0.26095094,0.40993922,0.02346906
wavelet-HHH_glcm_MaximumProbability,5,59,18;14;11;11;5,estimable,,2.84066378,0.58483401,0.66223851,0.0
wavelet-HHH_glrlm_LongRunLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,4.96506763,0.29090059,0.43283759,0.01787162
wavelet-HHH_glrlm_RunEntropy,5,59,18;14;11;11;5,estimable,,7.72765182,0.10207979,0.28147664,0.06903059
wavelet-HHH_glrlm_RunLengthNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,3.63023748,0.45835362,0.55579888,0.0
wavelet-HHH_glrlm_RunVariance,5,59,18;14;11;11;5,estimable,,5.23307115,0.26420789,0.40993922,0.02283465
wavelet-HHH_glszm_GrayLevelVariance,5,59,18;14;11;11;5,estimable,,4.37758048,0.35731103,0.48480968,0.00699223
wavelet-HHH_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,6.64586658,0.15582852,0.32626264,0.04899753
wavelet-HHH_glszm_SmallAreaEmphasis,5,59,18;14;11;11;5,estimable,,0.99475579,0.91059014,0.92868133,0.0
wavelet-HHH_glszm_ZoneEntropy,5,59,18;14;11;11;5,estimable,,5.89021494,0.20749848,0.35703649,0.03500398
wavelet-HHH_glszm_ZonePercentage,5,59,18;14;11;11;5,estimable,,0.25431849,0.99256903,0.99256903,0.0
wavelet-HHH_gldm_DependenceEntropy,5,59,18;14;11;11;5,estimable,,7.07553795,0.13194983,0.31013939,0.05695441
wavelet-HHH_gldm_DependenceVariance,5,59,18;14;11;11;5,estimable,,6.20409861,0.18441574,0.34500838,0.04081664
wavelet-HHH_gldm_SmallDependenceLowGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,10.21212415,0.03700212,0.20447968,0.11503934
wavelet-LLL_firstorder_Entropy,5,59,18;14;11;11;5,estimable,,9.91541761,0.04187682,0.20447968,0.10954477
wavelet-LLL_firstorder_Kurtosis,5,59,18;14;11;11;5,estimable,,3.68114511,0.4508742,0.54889033,0.0
wavelet-LLL_firstorder_MeanAbsoluteDeviation,5,59,18;14;11;11;5,estimable,,8.78331939,0.06674964,0.2432139,0.08857999
wavelet-LLL_firstorder_Minimum,5,59,18;14;11;11;5,estimable,,13.36375425,0.00962864,0.18208081,0.17340286
wavelet-LLL_firstorder_Skewness,5,59,18;14;11;11;5,estimable,,4.27665762,0.36985717,0.49101728,0.00512329
wavelet-LLL_glcm_Correlation,5,59,18;14;11;11;5,estimable,,15.54402573,0.00369621,0.18208081,0.21377825
wavelet-LLL_glcm_Idmn,5,59,18;14;11;11;5,estimable,,10.08385844,0.03903854,0.20447968,0.11266405
wavelet-LLL_glcm_Idn,5,59,18;14;11;11;5,estimable,,9.54626899,0.04880516,0.20839607,0.10270868
wavelet-LLL_glcm_Imc1,5,59,18;14;11;11;5,estimable,,13.1906381,0.01038091,0.18208081,0.170197
wavelet-LLL_glcm_MaximumProbability,5,59,18;14;11;11;5,estimable,,6.50271676,0.16461929,0.32626264,0.04634661
wavelet-LLL_glszm_GrayLevelNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,10.39767114,0.03423612,0.20447968,0.11847539
wavelet-LLL_glszm_SizeZoneNonUniformityNormalized,5,59,18;14;11;11;5,estimable,,10.71657935,0.02994089,0.20136071,0.1243811
wavelet-LLL_glszm_ZoneEntropy,5,59,18;14;11;11;5,estimable,,6.94556216,0.13879313,0.31432562,0.05454745
wavelet-LLL_gldm_LargeDependenceHighGrayLevelEmphasis,5,59,18;14;11;11;5,estimable,,5.96372001,0.20187412,0.35703649,0.03636519
wavelet-LLL_ngtdm_Contrast,5,59,18;14;11;11;5,estimable,,5.63398195,0.22820098,0.37386118,0.03025893
wavelet-LLL_ngtdm_Strength,5,59,18;14;11;11;5,estimable,,6.01403674,0.19810245,0.35366194,0.03729698
