feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr21q,CORE04,CORE05,11,5,0.0334,-0.01162541,0.03534391,-0.05683453,0.34545455,-0.30909091,0.89090909,0.31959707,1.0
chr22q,CORE01,CORE02,18,14,0.0145506,0.006,0.01740868,-0.06980842,0.3531746,-0.05962302,0.72222222,0.09460816,0.9460816
chr22q,CORE01,CORE03,18,11,0.0145506,0.036,0.01740868,0.06229166,-0.40909091,-0.81325758,0.07588384,0.0721631,0.9460816
chr22q,CORE01,CORE04,18,11,0.0145506,0.0368,0.01740868,0.00430451,-0.26262626,-0.74747475,0.24267677,0.25173733,1.0
chr22q,CORE01,CORE05,18,5,0.0145506,0.0395,0.01740868,0.03096351,-0.46666667,-0.97777778,0.28888889,0.12963238,1.0
chr22q,CORE02,CORE03,14,11,0.006,0.036,-0.06980842,0.06229166,-0.5974026,-0.8961039,-0.19480519,0.01274227,1.0
chr22q,CORE02,CORE04,14,11,0.006,0.0368,-0.06980842,0.00430451,-0.48051948,-0.84415584,-0.05162338,0.04569623,1.0
chr22q,CORE02,CORE05,14,5,0.006,0.0395,-0.06980842,0.03096351,-0.65714286,-1.0,-0.08571429,0.03388373,1.0
chr22q,CORE03,CORE04,11,11,0.036,0.0368,0.06229166,0.00430451,0.12396694,-0.40495868,0.58677686,0.64576382,1.0
chr22q,CORE03,CORE05,11,5,0.036,0.0395,0.06229166,0.03096351,-0.05454545,-0.70909091,0.6,0.91300366,1.0
chr22q,CORE04,CORE05,11,5,0.0368,0.0395,0.00430451,0.03096351,-0.16363636,-0.74545455,0.45454545,0.66117216,1.0
locus::VHL,CORE01,CORE02,18,14,-0.4207,-0.2699,-0.45424444,-0.26799286,-0.58730159,-0.87301587,-0.26190476,0.00523778,0.0523778
locus::VHL,CORE01,CORE03,18,11,-0.4207,-0.3542,-0.45424444,-0.24365455,-0.33333333,-0.73737374,0.12146465,0.14407957,1.0
locus::VHL,CORE01,CORE04,18,11,-0.4207,-0.3196,-0.45424444,-0.29474545,-0.58585859,-0.88888889,-0.22222222,0.00975393,1.0
locus::VHL,CORE01,CORE05,18,5,-0.4207,-0.315,-0.45424444,-0.2001,-0.73333333,-1.0,-0.31111111,0.01170911,1.0
locus::VHL,CORE02,CORE03,14,11,-0.2699,-0.3542,-0.26799286,-0.24365455,0.02597403,-0.50649351,0.51980519,0.93455341,1.0
locus::VHL,CORE02,CORE04,14,11,-0.2699,-0.3196,-0.26799286,-0.29474545,0.09090909,-0.36363636,0.55844156,0.72195905,1.0
locus::VHL,CORE02,CORE05,14,5,-0.2699,-0.315,-0.26799286,-0.2001,-0.02857143,-0.65714286,0.6,0.96439628,1.0
locus::VHL,CORE03,CORE04,11,11,-0.3542,-0.3196,-0.24365455,-0.29474545,-0.04132231,-0.55371901,0.50413223,0.89551424,1.0
locus::VHL,CORE03,CORE05,11,5,-0.3542,-0.315,-0.24365455,-0.2001,-0.16363636,-0.67272727,0.41818182,0.66117216,1.0
locus::VHL,CORE04,CORE05,11,5,-0.3196,-0.315,-0.29474545,-0.2001,-0.16363636,-0.74545455,0.49090909,0.66117216,1.0
locus::SETD2,CORE01,CORE02,18,14,-0.41675,-0.29325,-0.45178889,-0.31897143,-0.47619048,-0.81746032,-0.08730159,0.02380772,0.2380772
locus::SETD2,CORE01,CORE03,18,11,-0.41675,-0.3523,-0.45178889,-0.24134545,-0.31313131,-0.71717172,0.14141414,0.17041453,1.0
locus::SETD2,CORE01,CORE04,18,11,-0.41675,-0.3196,-0.45178889,-0.29117273,-0.60606061,-0.90909091,-0.23232323,0.00748796,1.0
locus::SETD2,CORE01,CORE05,18,5,-0.41675,-0.3252,-0.45178889,-0.21835353,-0.73333333,-1.0,-0.28888889,0.01170911,1.0
locus::SETD2,CORE02,CORE03,14,11,-0.29325,-0.3523,-0.31897143,-0.24134545,-0.02597403,-0.54577922,0.50649351,0.93455341,1.0
locus::SETD2,CORE02,CORE04,14,11,-0.29325,-0.3196,-0.31897143,-0.29117273,-0.09090909,-0.53246753,0.4025974,0.72195905,1.0
locus::SETD2,CORE02,CORE05,14,5,-0.29325,-0.3252,-0.31897143,-0.21835353,-0.17142857,-0.74285714,0.45714286,0.62160303,1.0
locus::SETD2,CORE03,CORE04,11,11,-0.3523,-0.3196,-0.24134545,-0.29117273,-0.07438017,-0.60330579,0.45495868,0.79281262,1.0
locus::SETD2,CORE03,CORE05,11,5,-0.3523,-0.3252,-0.24134545,-0.21835353,-0.16363636,-0.70909091,0.41818182,0.66117216,1.0
locus::SETD2,CORE04,CORE05,11,5,-0.3196,-0.3252,-0.29117273,-0.21835353,-0.12727273,-0.78181818,0.56363636,0.74267399,1.0
locus::PBRM1,CORE01,CORE02,18,14,-0.418,-0.29325,-0.45307222,-0.30837857,-0.48412698,-0.80952381,-0.1031746,0.02155013,0.2155013
locus::PBRM1,CORE01,CORE03,18,11,-0.418,-0.3523,-0.45307222,-0.24134545,-0.32323232,-0.73737374,0.15176768,0.1568283,1.0
