feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
mutation::MTOR,CORE02,CORE03,14,11,0.07142857142857142,0.0,0.07142857142857142,2.55555556,0.09464531,69.0035712,1.0,1.0
mutation::MTOR,CORE02,CORE04,14,11,0.07142857142857142,0.0,0.07142857142857142,2.55555556,0.09464531,69.0035712,1.0,1.0
mutation::MTOR,CORE02,CORE05,14,5,0.07142857142857142,0.0,0.07142857142857142,1.22222222,0.04285016,34.8616506,1.0,1.0
mutation::MTOR,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
mutation::MTOR,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::MTOR,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::MUC16,CORE01,CORE02,18,14,0.16666666666666666,0.07142857142857142,0.09523809523809523,2.03225806,0.26235311,15.74242015,0.6128198,1.0
mutation::MUC16,CORE01,CORE03,18,11,0.16666666666666666,0.09090909090909091,0.07575757575757575,1.58064516,0.20005956,12.48847679,1.0,1.0
mutation::MUC16,CORE01,CORE04,18,11,0.16666666666666666,0.09090909090909091,0.07575757575757575,1.58064516,0.20005956,12.48847679,1.0,1.0
mutation::MUC16,CORE01,CORE05,18,5,0.16666666666666666,0.0,0.16666666666666666,2.48387097,0.10980881,56.18506611,1.0,1.0
mutation::MUC16,CORE02,CORE03,14,11,0.07142857142857142,0.09090909090909091,-0.019480519480519487,0.77777778,0.07037408,8.59603826,1.0,1.0
mutation::MUC16,CORE02,CORE04,14,11,0.07142857142857142,0.09090909090909091,-0.019480519480519487,0.77777778,0.07037408,8.59603826,1.0,1.0
mutation::MUC16,CORE02,CORE05,14,5,0.07142857142857142,0.0,0.07142857142857142,1.22222222,0.04285016,34.8616506,1.0,1.0
mutation::MUC16,CORE03,CORE04,11,11,0.09090909090909091,0.09090909090909091,0.0,1.0,0.08896818,11.23997396,1.0,1.0
mutation::MUC16,CORE03,CORE05,11,5,0.09090909090909091,0.0,0.09090909090909091,1.57142857,0.05442988,45.36823621,1.0,1.0
mutation::MUC16,CORE04,CORE05,11,5,0.09090909090909091,0.0,0.09090909090909091,1.57142857,0.05442988,45.36823621,1.0,1.0
mutation::PBRM1,CORE01,CORE02,18,14,0.6111111111111112,0.21428571428571427,0.39682539682539686,5.03809524,1.11377024,22.78962268,0.03557333,0.3557333
mutation::PBRM1,CORE01,CORE03,18,11,0.6111111111111112,0.18181818181818182,0.42929292929292934,5.82666667,1.09738365,30.93726101,0.05237306,0.47135754
mutation::PBRM1,CORE01,CORE04,18,11,0.6111111111111112,0.2727272727272727,0.33838383838383845,3.72380952,0.79207757,17.50681739,0.12813593,1.0
mutation::PBRM1,CORE01,CORE05,18,5,0.6111111111111112,0.2,0.41111111111111115,4.6,0.58381695,36.24423688,0.1549526,1.0
mutation::PBRM1,CORE02,CORE03,14,11,0.21428571428571427,0.18181818181818182,0.03246753246753245,1.15652174,0.18432287,7.25651987,1.0,1.0
mutation::PBRM1,CORE02,CORE04,14,11,0.21428571428571427,0.2727272727272727,-0.05844155844155843,0.73913043,0.13148039,4.15509709,1.0,1.0
mutation::PBRM1,CORE02,CORE05,14,5,0.21428571428571427,0.2,0.014285714285714263,0.91304348,0.10102093,8.25223475,1.0,1.0
mutation::PBRM1,CORE03,CORE04,11,11,0.18181818181818182,0.2727272727272727,-0.09090909090909088,0.63909774,0.09866696,4.13964218,1.0,1.0
mutation::PBRM1,CORE03,CORE05,11,5,0.18181818181818182,0.2,-0.018181818181818188,0.78947368,0.07803144,7.98740443,1.0,1.0
mutation::PBRM1,CORE04,CORE05,11,5,0.2727272727272727,0.2,0.0727272727272727,1.23529412,0.13308547,11.46595162,1.0,1.0
mutation::PIK3CA,CORE01,CORE02,18,14,0.0,0.14285714285714285,-0.14285714285714285,0.13513514,0.00596678,3.06052857,0.18346774,1.0
mutation::PIK3CA,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::PIK3CA,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::PIK3CA,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
mutation::PIK3CA,CORE02,CORE03,14,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,1.0
mutation::PIK3CA,CORE02,CORE04,14,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,1.0
mutation::PIK3CA,CORE02,CORE05,14,5,0.14285714285714285,0.0,0.14285714285714285,2.2,0.08987835,53.85056722,1.0,1.0
mutation::PIK3CA,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
mutation::PIK3CA,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::PIK3CA,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::PTEN,CORE01,CORE02,18,14,0.05555555555555555,0.14285714285714285,-0.0873015873015873,0.42857143,0.04989794,3.68098329,0.56814516,1.0
mutation::PTEN,CORE01,CORE03,18,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0
mutation::PTEN,CORE01,CORE04,18,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0
mutation::PTEN,CORE01,CORE05,18,5,0.05555555555555555,0.0,0.05555555555555555,0.94285714,0.0333787,26.63313897,1.0,1.0
mutation::PTEN,CORE02,CORE03,14,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,1.0
mutation::PTEN,CORE02,CORE04,14,11,0.14285714285714285,0.0,0.14285714285714285,4.6,0.19904951,106.30520851,0.48666667,1.0
mutation::PTEN,CORE02,CORE05,14,5,0.14285714285714285,0.0,0.14285714285714285,2.2,0.08987835,53.85056722,1.0,1.0
mutation::PTEN,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
mutation::PTEN,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::PTEN,CORE04,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::SETD2,CORE01,CORE02,18,14,0.05555555555555555,0.07142857142857142,-0.015873015873015872,0.77142857,0.07197216,8.26850281,1.0,1.0
mutation::SETD2,CORE01,CORE03,18,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0
mutation::SETD2,CORE01,CORE04,18,11,0.05555555555555555,0.0,0.05555555555555555,1.97142857,0.07373718,52.70787957,1.0,1.0
mutation::SETD2,CORE01,CORE05,18,5,0.05555555555555555,0.2,-0.14444444444444446,0.25714286,0.02134009,3.09850877,0.39525692,1.0
mutation::SETD2,CORE02,CORE03,14,11,0.07142857142857142,0.0,0.07142857142857142,2.55555556,0.09464531,69.0035712,1.0,1.0
mutation::SETD2,CORE02,CORE04,14,11,0.07142857142857142,0.0,0.07142857142857142,2.55555556,0.09464531,69.0035712,1.0,1.0
mutation::SETD2,CORE02,CORE05,14,5,0.07142857142857142,0.2,-0.1285714285714286,0.33333333,0.02730492,4.06927107,0.46783626,1.0
mutation::SETD2,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
mutation::SETD2,CORE03,CORE05,11,5,0.0,0.2,-0.2,0.13043478,0.00443598,3.83528324,0.3125,1.0
mutation::SETD2,CORE04,CORE05,11,5,0.0,0.2,-0.2,0.13043478,0.00443598,3.83528324,0.3125,1.0
mutation::SPTA1,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
mutation::SPTA1,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
mutation::SPTA1,CORE01,CORE04,18,11,0.0,0.2727272727272727,-0.2727272727272727,0.06563707,0.00303927,1.41752134,0.04515599,1.0
mutation::SPTA1,CORE01,CORE05,18,5,0.0,0.0,0.0,0.2972973,0.00526358,16.79194606,1.0,1.0
mutation::SPTA1,CORE02,CORE03,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
mutation::SPTA1,CORE02,CORE04,14,11,0.0,0.2727272727272727,-0.2727272727272727,0.08374384,0.00384176,1.82547414,0.07173913,1.0
mutation::SPTA1,CORE02,CORE05,14,5,0.0,0.0,0.0,0.37931034,0.00666812,21.57673143,1.0,1.0
mutation::SPTA1,CORE03,CORE04,11,11,0.0,0.2727272727272727,-0.2727272727272727,0.10559006,0.00479004,2.3275919,0.21428571,1.0
mutation::SPTA1,CORE03,CORE05,11,5,0.0,0.0,0.0,0.47826087,0.00833612,27.4388437,1.0,1.0
mutation::SPTA1,CORE04,CORE05,11,5,0.2727272727272727,0.0,0.2727272727272727,4.52941176,0.19382635,105.84511012,0.50892857,1.0
