gene_name,mad
PCDHGB7,1.0715845445479801
PTGIS,1.0714112618877372
ANO4,1.0712010816621607
GLRB,1.0703679159313975
ELN,1.0695648597215435
APLNR,1.0685744079743147
ALPK3,1.0676556176623753
ADAMTSL3,1.066294302243604
UGT1A6,1.0660644232250482
DMKN,1.0659798390178894
GALNT15,1.0653201824968281
GDA,1.0650428437635142
CFH,1.064781243951587
ABCB1,1.0643067132316313
C3,1.064108568725052
APOM,1.0640766342928245
CAVIN2,1.0614943479743824
PTGS1,1.061416118865874
LTBP2,1.0596658350436963
SHISA3,1.059250880903807
MAP7,1.0591519519580839
FKBP5,1.0564038386562347
SLC39A5,1.056091121267956
GJA5,1.0558123887906348
LYG1,1.055692958163121
FNDC1,1.0542370977901996
CXCL12,1.0521470049820305
CYP4A22,1.0515135718984712
ENPP7,1.0510111119539802
GPR35,1.050118263156745
SFN,1.0475761250586535
CXCL6,1.047411258919359
PDZRN3,1.046930005416439
MARCO,1.045951438606125
IGFBP1,1.0452915018414706
ACP5,1.0449071648431376
PCDHB6,1.0436348091144931
SHISA9,1.042819824394418
ERICH5,1.0427890281577237
MT1M,1.0424597643270395
LIF,1.041916833980678
ACTA2,1.0415189770602042
MMP1,1.0399968139199136
GNGT1,1.039627074120711
HBA2,1.0387329636582718
LIFR,1.0383594078789047
WFDC2,1.0383515918537842
CPXM2,1.0364146084911776
HSF4,1.0357165630135006
LBP,1.0354944941894155
ANK1,1.0352249379702012
TESC,1.0344713224397069
FBLN5,1.033446316272093
IL1R2,1.0333951204091965
QPCT,1.032793952708595
OGDHL,1.032188348497555
IDO1,1.0311954174442848
ACSM2B,1.0311941082704417
ITGA11,1.0308961565330823
COL15A1,1.0281154669747181
SMIM3,1.027636683063931
GXYLT2,1.026915787118082
APOL1,1.025376308279645
APOLD1,1.0249552295465811
GABRB3,1.024464287455523
TREX2,1.0211124690881572
COL14A1,1.021008288993039
ATF3,1.0197070436803095
EMCN,1.0196648811648137
ADAMDEC1,1.0190346693643373
CMYA5,1.0179277495892032
MAPK15,1.0177272475205275
NDN,1.017216417016781
MYH14,1.0169987645336778
SCARA3,1.0163425804704853
MACC1,1.0162479919232856
AVPR1A,1.0133002653167016
HPD,1.0125745488983717
MISP,1.0117585891541292
FUT6,1.0114724326700708
TMEM45A,1.0114053345184129
SYBU,1.0104709491495727
ASPDH,1.010050970734126
BEX5,1.00942139223454
CYP1B1,1.0092286821624308
ANXA3,1.0088166067925335
LRRN4,1.0087559383747644
ECRG4,1.00846202993873
ALDH4A1,1.0075846769940178
SLC7A5,1.00681232392192
SPON2,1.006016668598578
SULF1,1.0057778124427434
FABP6,1.0056390231549734
MT1X,1.0052995046680397
LAG3,1.0052921755117312
CD163,1.0048050421042651
FHL1,1.0047637233413216
APOB,1.0042905909649338
GABRE,1.0038222282943015
CREB3L3,1.0027397436568268
ABCG2,1.0017860396780045
REPS2,1.000172086816705
VWCE,0.9993969357418198
GPNMB,0.9991409797095727
FCGBP,0.9983097061400041
C1QTNF3,0.9972961947219483
CYP4F11,0.996955645803919
MLXIPL,0.9968096679292993
CLTRN,0.9964066163798613
STC1,0.9957607910538551
LRRN4CL,0.9952514309735517
ACKR1,0.9952304263879501
FMO3,0.9950776703670647
LAMC3,0.9947418291665877
PDGFD,0.9943541112786978
ALKAL2,0.9939804287483285
CREB3L1,0.9937123479955621
SLC9A3,0.9935077759362118
AMOT,0.9926594082463236
PNMA3,0.9923456054513395
BEX2,0.9923396369246769
IP6K3,0.9906261814121224
CGN,0.990577413111619
HNF4G,0.9903335099287731
TIMP3,0.9901943675581713
PANK1,0.990028310935231
C4A,0.9894583782719515
HLA-DQB2,0.9893131670811703
SLC12A8,0.9891540237882083
CADM4,0.9885368000942512
ENAM,0.9884330443176177
MDK,0.987867364335921
UGT2A3,0.9871733462328764
MUC20,0.9855927017060888
CD79A,0.9855329374237618
NPIPB15,0.9852648250624605
MAOA,0.9850430689138001
MOCOS,0.9848140581939107
MT1A,0.9840010642715216
CCNL2,0.983962664286619
IRF6,0.9820453508730678
ALDH6A1,0.9818189008158309
NR2F1,0.9812033278563912
PRKY,0.9811709511389208
GOLT1A,0.9804793781573049
ANK2,0.9803967770772188
ZNF711,0.9802745377433162
TAGLN,0.9786603526858766
G0S2,0.9775279369622982
ERRFI1,0.976917658926733
C1R,0.9757432320358967
GHR,0.973887757750107
