feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
wavelet-LLH_glrlm_LongRunEmphasis,4,69,17;14;14;24,estimable,,12.56148285,0.0056876,0.05152296,0.14709974
wavelet-LLH_glrlm_RunEntropy,4,69,17;14;14;24,estimable,,11.7715434,0.00820817,0.06166137,0.13494682
wavelet-LLH_glrlm_RunLengthNonUniformity,4,69,17;14;14;24,estimable,,10.57235677,0.01427801,0.07358099,0.1164978
wavelet-LLH_glrlm_RunLengthNonUniformityNormalized,4,69,17;14;14;24,estimable,,8.9252153,0.03030189,0.11244557,0.09115716
wavelet-LLH_glszm_GrayLevelNonUniformity,4,69,17;14;14;24,estimable,,1.48126642,0.68660073,0.76620661,0.0
wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,4,69,17;14;14;24,estimable,,7.58146302,0.05550185,0.15540518,0.07048405
wavelet-LLH_glszm_LargeAreaEmphasis,4,69,17;14;14;24,estimable,,7.42229414,0.05958903,0.16099492,0.06803529
wavelet-LLH_glszm_SizeZoneNonUniformity,4,69,17;14;14;24,estimable,,0.64887433,0.88515809,0.90274401,0.0
wavelet-LLH_glszm_SizeZoneNonUniformityNormalized,4,69,17;14;14;24,estimable,,2.73979766,0.43350641,0.59079635,0.0
wavelet-LLH_glszm_SmallAreaEmphasis,4,69,17;14;14;24,estimable,,2.4605216,0.48246798,0.63504332,0.0
wavelet-LLH_glszm_ZoneEntropy,4,69,17;14;14;24,estimable,,6.12511091,0.10567945,0.20682072,0.04807863
wavelet-LLH_gldm_DependenceEntropy,4,69,17;14;14;24,estimable,,10.91189171,0.01221198,0.06870259,0.12172141
wavelet-LLH_gldm_DependenceNonUniformityNormalized,4,69,17;14;14;24,estimable,,1.61427006,0.65615853,0.75976251,0.0
wavelet-LLH_gldm_DependenceVariance,4,69,17;14;14;24,estimable,,6.29359483,0.09816787,0.19891911,0.05067069
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,2.25661743,0.52088276,0.66846621,0.0
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,4,69,17;14;14;24,estimable,,8.10927153,0.04380656,0.1375426,0.07860418
wavelet-LLH_ngtdm_Strength,4,69,17;14;14;24,estimable,,10.97342154,0.01187047,0.06870259,0.12266802
wavelet-LHL_firstorder_10Percentile,4,69,17;14;14;24,estimable,,2.20127007,0.53169825,0.67392206,0.0
wavelet-LHL_firstorder_Energy,4,69,17;14;14;24,estimable,,5.70185987,0.12705148,0.23292771,0.04156707
