field,level,core_n,non_core_n,core_fraction,non_core_fraction,cramers_v,odds_ratio,test,p_value,q_value
tissue_source_site,CZ,4,5,0.07142857142857142,0.10638297872340426,0.0,,monte_carlo_chi2,0.5535446455354465,0.7045113670451136
tissue_source_site,G6,2,0,0.03571428571428571,0.0,0.0,,monte_carlo_chi2,0.5535446455354465,0.7045113670451136
ct_phase,ART,5,1,0.08928571428571429,0.02127659574468085,0.1483523578355991,,monte_carlo_chi2,0.23747625237476253,0.47495250474952505
ct_phase,CE_UNSPECIFIED,6,6,0.10714285714285714,0.1276595744680851,0.1483523578355991,,monte_carlo_chi2,0.23747625237476253,0.47495250474952505
ct_phase,DEL,6,8,0.10714285714285714,0.1702127659574468,0.1483523578355991,,monte_carlo_chi2,0.23747625237476253,0.47495250474952505
ct_phase,MAIN_CE_HIGH,7,5,0.125,0.10638297872340426,0.1483523578355991,,monte_carlo_chi2,0.23747625237476253,0.47495250474952505
ct_phase,MAIN_CE_MEDIUM,1,3,0.017857142857142856,0.06382978723404255,0.1483523578355991,,monte_carlo_chi2,0.23747625237476253,0.47495250474952505
ct_phase,NC,3,4,0.05357142857142857,0.0851063829787234,0.1483523578355991,,monte_carlo_chi2,0.23747625237476253,0.47495250474952505
ct_phase,NEPH,2,6,0.03571428571428571,0.1276595744680851,0.1483523578355991,,monte_carlo_chi2,0.23747625237476253,0.47495250474952505
ct_phase,UNKNOWN,26,14,0.4642857142857143,0.2978723404255319,0.1483523578355991,,monte_carlo_chi2,0.23747625237476253,0.47495250474952505
ct_manufacturer,GE,39,31,0.6964285714285714,0.6595744680851063,0.0,,monte_carlo_chi2,0.8011198880111989,0.8335499058344407
ct_manufacturer,PHILIPS,1,2,0.017857142857142856,0.0425531914893617,0.0,,monte_carlo_chi2,0.8011198880111989,0.8335499058344407
ct_manufacturer,SIEMENS,16,14,0.2857142857142857,0.2978723404255319,0.0,,monte_carlo_chi2,0.8011198880111989,0.8335499058344407
ct_scanner_model,Definition,1,2,0.017857142857142856,0.0425531914893617,0.1948921396208116,,monte_carlo_chi2,0.1573842615738426,0.36722994367229944
